,date,retweets,favorites,polarity
2,2018-12-28,81,222,0.5
3,2018-12-27,54,110,-0.35
6,2018-12-26,32,53,-0.4333333333333333
7,2018-12-26,37,98,0.02
8,2018-12-26,693,1868,-0.10370370370370373
9,2018-12-26,36,41,-0.1
10,2018-12-25,55,47,-0.7
11,2018-12-24,46,67,-0.24999999999999994
13,2018-12-22,37,39,0.0
14,2018-12-22,33,48,-0.42777777777777776
15,2018-12-21,52,83,0.0
16,2018-12-20,78,56,-0.7
17,2018-12-20,44,69,0.14069264069264067
22,2018-12-28,38,51,0.16818181818181818
42,2018-12-10,33,45,0.09375
46,2018-12-09,31,70,-0.7
60,2018-11-30,49,59,-0.25999999999999995
61,2018-11-30,391,1098,0.0
63,2018-11-29,56,119,-0.35
68,2018-11-24,35,48,-0.16649305555555555
69,2018-11-24,43,275,0.02
72,2018-11-23,94,95,0.0888888888888889
73,2018-11-23,43,36,-0.4333333333333333
74,2018-11-23,34,88,-0.2402777777777777
78,2018-11-21,38,109,-0.28
81,2018-11-20,47,252,0.13106060606060607
86,2018-11-16,38,118,-0.06499999999999999
92,2018-11-13,664,2944,0.0
93,2018-11-13,32,58,-0.2261111111111111
94,2018-11-13,72,77,-0.1555555555555556
97,2018-11-10,58,119,-0.09
98,2018-11-09,47,100,-0.7
99,2018-11-05,156,187,-0.16
102,2018-11-04,38,56,-0.35
109,2018-11-01,40,40,-0.042592592592592585
111,2018-10-30,85,69,0.0
112,2018-10-29,45,73,0.1875
114,2018-10-26,41,52,-0.6999999999999998
116,2018-10-25,67,116,-0.06749999999999999
118,2018-10-22,450,541,-0.2
125,2018-10-17,41,55,-0.35
130,2018-10-12,153,455,-0.7
135,2018-10-08,42,35,-0.3
139,2018-10-01,255,160,-0.7
140,2018-10-01,62,64,-0.7
142,2018-10-01,71,59,0.10324999999999998
143,2018-10-01,206,341,-0.475
148,2018-09-30,1130,1697,-0.7
151,2018-09-27,136,244,-0.06666666666666665
152,2018-09-27,34,40,-0.1125
156,2018-09-24,71,99,0.25
158,2018-09-24,32,61,0.03
159,2018-09-24,39,58,0.0740909090909091
160,2018-09-24,909,1076,-0.7
162,2018-09-24,100,78,-0.09999999999999998
163,2018-09-24,61,55,-0.26805555555555555
164,2018-09-24,72,93,-0.7
165,2018-09-24,32,32,0.1264393939393939
166,2018-09-24,97,94,-0.07749999999999999
168,2018-09-19,231,378,0.0
173,2018-09-12,33,35,0.0
174,2018-09-11,33,60,-0.35
175,2018-09-04,41,124,0.1125
179,2018-09-04,54,62,-0.19166666666666665
180,2018-09-04,44,52,-0.14393939393939392
183,2018-09-02,44,47,-0.35
191,2018-08-24,38,45,-0.1125
195,2018-07-30,49,43,-0.3022222222222222
203,2018-07-24,185,216,0.0
207,2018-07-23,104,114,-0.008333333333333323
217,2018-07-03,34,51,-0.10833333333333332
218,2018-07-03,105,89,-0.7
221,2018-06-29,44,35,-0.25
232,2018-06-17,40,60,0.0
247,2018-05-31,38,41,-0.7
250,2018-05-28,32,47,-0.10875
257,2018-05-17,463,405,-0.35
258,2018-05-17,45,47,-0.31666666666666665
260,2018-05-17,765,683,-0.7
261,2018-05-17,624,498,-0.225
265,2018-05-17,51,32,-0.18928571428571428
268,2018-05-10,32,36,-0.125
270,2018-05-09,32,44,3.7007434154171876e-17
271,2018-05-08,243,231,-0.7
277,2018-05-07,343,348,-0.7
278,2018-05-07,53,37,0.06666666666666668
292,2018-04-19,58,47,-0.3
297,2018-04-18,50,47,-0.05925925925925925
301,2018-04-13,197,164,-0.7
302,2018-04-12,33,33,-0.11428571428571427
303,2018-04-12,435,420,-0.7
307,2018-04-11,269,225,-0.7
308,2018-04-10,39,41,-0.7
311,2018-04-10,91,81,-0.35
314,2018-04-09,41,32,0.0
317,2018-04-06,74,174,0.07666666666666669
318,2018-04-04,235,294,-0.7
344,2018-03-03,71,55,0.0
352,2018-02-12,39,214,0.1
354,2018-02-10,137,116,-0.7
355,2018-02-09,42,39,-0.3159090909090909
363,2018-02-02,63,164,-0.7
364,2018-02-01,77,66,0.0
371,2018-01-25,56,34,0.25
390,2018-01-09,46,41,-0.4333333333333333
401,2018-01-04,742,658,-0.14999999999999994
448,2019-08-07,57,83,-0.5
486,2019-08-07,32,56,-0.1875
505,2019-08-06,51,50,-0.08888888888888888
528,2019-08-12,43,94,0.5
574,2019-08-01,36,32,-0.1555555555555556
581,2019-07-23,39,124,-0.2833333333333333
602,2019-06-13,203,159,-0.7
604,2019-06-05,60,62,-0.2875
605,2019-06-05,33,62,-0.225
608,2019-06-03,32,45,-0.1555555555555556
612,2019-05-31,48,50,-0.015277777777777791
614,2019-05-31,52,74,-0.2101851851851852
616,2019-05-29,58,89,-0.05
622,2019-05-21,76,104,0.0
624,2019-05-20,34,41,-0.4125
625,2019-05-20,35,71,-0.025
633,2019-05-13,62,75,0.0
636,2019-05-10,44,63,0.15875
637,2019-05-10,55,198,0.0
644,2019-05-02,32,65,0.13636363636363635
651,2019-04-26,32,47,-0.07777777777777779
654,2019-04-25,72,73,-0.03624999999999999
656,2019-04-25,35,34,0.25
658,2019-04-25,882,1856,-0.7
659,2019-04-23,97,436,0.010000000000000007
671,2019-04-11,33,32,-0.02799999999999998
674,2019-04-10,139,344,-0.425
682,2019-04-04,102,125,-0.225
683,2019-04-03,54,67,0.3
699,2019-03-22,34,55,-0.11666666666666665
706,2019-02-25,57,70,-0.037037037037037056
714,2019-02-24,32,45,-0.14999999999999994
723,2019-02-11,52,73,-0.2125
738,2019-01-30,66,130,-0.2333333333333333
739,2019-01-29,43,91,-0.1125
741,2019-01-28,49,244,0.5
743,2019-01-24,82,97,0.0
753,2019-01-13,40,100,0.19375
756,2019-01-11,55,75,-0.09999999999999998
769,2019-01-03,40,47,-0.7
780,2019-01-02,601,488,-0.13333333333333333
