,date,retweets,favorites,text,VADER score
4,09/09/2019 03:05,86,328,"Forget my sister, do you use Grease or Crude oil as cream ? https:// twitter.com/wisdompetertm/ status/1170764485453328393 …",-0.6808
15,03/09/2019 23:59,527,2458,That train you find annoying is moving Canadian Crude Oil to markets. You are fucking annoying. https:// twitter.com/sohiamarjeet/s tatus/1169030753142923273 …,-0.8442
18,01/09/2019 17:03,623,564,Russia has offered to help Iran to skirt US sanctions by allowing it to transport crude oil through ports in Crimea https://www. thetimes.co.uk/article/8b6515 e4-ca6e-11e9-b1f3-b9799171edee … pic.twitter.com/IeAAPdwBzH,-0.25
21,09/09/2019 07:53,122,197,"Desperate feku now planning to sell profit making national carrier, Shipping corp of India Ltd . This company ships crude oil to India, amongst other items. next time during a crisis situation if we face shortage of oil,you'll know whom to blame. Where's the money going ?? pic.twitter.com/tslPBsqSpM",-0.8992
22,08/09/2019 14:12,42,134,The President further announced that plans are underway to start the construction of a crude oil pipeline from the Turkana oilfields to the new port. pic.twitter.com/ViQfM15M2S,-0.5719
25,07/09/2019 00:00,99,131,"ICYMI: The Standing Rock Sioux Tribe remains at risk of an oil spill from the Dakota Access pipeline (DAPL), a major crude oil pipeline. #NoDAPL https:// ejus.tc/31Hm0Uz",-0.7003
35,02/09/2019 16:16,2415,2109,#Russia has offered to help #Iran to skirt US sanctions by allowing it to transport crude oil through ports in #Crimea . https://www. thetimes.co.uk/article/8b6515 e4-ca6e-11e9-b1f3-b9799171edee …,-0.25
39,09/09/2019 13:57,2,58,Crude oil : Bullish structure on a daily chart pic.twitter.com/F9IeadNPDf,-0.5719
63,06/09/2019 23:42,7,82,It was CONFIRMED to be carrying CRUDE oil which is NOT part of sanctions. In which case they can go where ever they wish to go legally.,-0.3254
72,02/09/2019 14:11,4,96,"#CrudeOil has been rejected more times than me in high school, but she keeps trying! pic.twitter.com/BFtuFmBxyD",-0.3489
94,02/09/2019 07:41,26,57,Indian economy remained largely stable due to the strong governance and policies of Dr. Manmohan Singh: We grew at 7.16% in 2008-09 & at 8.99% in 2009-10. When the crude oil prices shot up internationally it was the UPA government that kept them stable. #EconomyKhatreMeinHai,0.4588
105,03/09/2019 12:16,79,73,Total E&P has today suspended all activities and tenders on the East Africa Crude Oil Pipeline until further notice. The suspension comes weeks after it started laying off some staff in Uganda. The deadlock over tax and the collapse of the Tullow Oil farmdown will bite harder.,-0.8957
