,date,retweets,favorites,text,VADER score
19,2019-09-10 09:31:00,0,1,Do you have any idea how they can make a car from scratch? Will the government let them? You people just like to sit on this twitter and spit trash. We have the iron ore but not a single working extracting furnace. Government has the sole right to extract minerals in this country,0.2755
20,2019-09-10 09:31:00,2,2,"Market view on #TTMobile : #ES_F , #FESX , #FTSE100 , #NK225 and #HSI are up. #ZB_F , #Bunds and #JGB are down. #Crude , #gold , #silver , #copper , #bitcoin and #soybeans are higher. #DX_F , #natgas , #corn , #wheat , #zinc , #lead and #ironore are lower. pic.twitter.com/PUdSMOTfjZ",-0.29600000000000004
22,2019-09-10 09:31:00,0,8,#Simandou shows demand for high grade #ironore #Vale fishing after delivery issues in Brazil #Fortescue bidding as low grade future in q Port / power / rail in #Brazzaville coming #China financing + need security of supply = #ZIOC is way undervalued,-0.0516
25,2019-09-10 09:31:00,1,1,"Thx m8. Our economy will change whether we want it to, or not. If coal, iron ore and food are allowed to remain the mainstay of our economy it will be a smaller economy.",0.6369
27,2019-09-10 09:31:00,11,41,"My Manganese and Iron Ore seams of my company in Postmasburg, The Remainder of Farm 445, Northern Cape and the possible listing on JSE and other international stock exchanges begins with this rich resources. God does answer pic.twitter.com/wWIhFhzen3",0.7469
32,2019-09-10 09:31:00,0,2,"This is cast iron ore , bat faeces, frogs in a container, loopy smoothy, nuts. I think I’m in love. #discobrexit https:// twitter.com/rhodri/status/ 1181849756043300864 …",0.4404
38,2019-09-10 09:31:00,0,1,$ iron ore is going dow today. I'm glad I'm still short on $ vale pic.twitter.com/etYIijIgWI,0.4588
39,2019-09-10 09:31:00,0,2,"would that be iron ore or copper ore..? LOL Sorry, couldn't resist. But yes, Mistress is totally awesome...",-0.1951
41,2019-09-10 09:31:00,0,10,"India is poised to become a net importer of iron-ore during the next financial year.. Supply-side disruptions could lead to an estimated deficit of about 50m tons during 2020/21, forcing imports of between 25m and 30mtpa. #ZIOC #ironore #Zanaga #Simandou https://www. miningweekly.com/article/india- set-to-become-net-iron-ore-importer-2019-10-08/rep_id:3650 …",-0.4767
42,2019-09-10 09:31:00,10,7,"Ahead of #LMEWeek , how have commodity prices performed, so far, this year? Despite macro worries, #Nickel & #IronOre Ore are outperforming #Gold this year pic.twitter.com/bplfoYKrIB",0.3252
46,2019-09-10 09:31:00,2,3,"Having said that, the trade btw Australia & Pak has huge potential to grow as Pak industry requires quality raw material for its finish products which Aus can supply such as cotton for textiles & coal for energy & iron ore for steel. Hope u understand",0.743
