,date,polarity
4,2019-09-03 09:31:00,1.0
5,2019-09-01 09:31:00,0.0625
8,2019-08-30 09:31:00,-0.04
10,2019-08-25 09:31:00,0.425
13,2019-08-21 09:31:00,1.0
26,2019-09-09 09:31:00,-0.7
29,2019-09-09 09:31:00,-0.35625
31,2019-07-09 09:31:00,-0.31875
41,2019-02-09 09:31:00,-0.3
43,2019-01-09 09:31:00,-0.7
45,2019-01-09 09:31:00,-0.7
48,2019-08-31 09:31:00,-0.1875
49,2019-08-31 09:31:00,-0.2
50,2019-08-31 09:31:00,-0.35
56,2019-08-29 09:31:00,0.05833333333333335
57,2019-08-29 09:31:00,0.16
58,2019-08-29 09:31:00,-0.7
66,2019-08-27 09:31:00,-0.16666666666666666
67,2019-08-27 09:31:00,-0.05500000000000002
68,2019-08-27 09:31:00,0.2500000000000001
69,2019-08-27 09:31:00,-0.06666666666666665
78,2019-08-26 09:31:00,-0.04999999999999999
79,2019-08-26 09:31:00,-0.15
80,2019-08-26 09:31:00,-0.3375
81,2019-08-26 09:31:00,-0.225
83,2019-08-26 09:31:00,-0.1390782828282828
98,2019-08-23 09:31:00,-0.7
100,2019-08-23 09:31:00,0.0666666666666667
101,2019-08-23 09:31:00,0.13333333333333333
102,2019-08-23 09:31:00,0.2875
113,2019-08-21 09:31:00,-0.7
116,2019-08-20 09:31:00,-0.4653846153846154
118,2019-08-20 09:31:00,-0.7
122,2019-08-19 09:31:00,-0.16666666666666666
123,2019-08-19 09:31:00,-0.3725
124,2019-08-19 09:31:00,-0.15999999999999998
125,2019-08-18 09:31:00,-0.2
137,2019-08-15 09:31:00,-0.16249999999999998
5,2019-09-02 09:31:00,0.0625
10,2019-08-26 09:31:00,0.425
125,2019-08-19 09:31:00,-0.2
41,2019-02-11 09:31:00,-0.3
48,2019-09-02 09:31:00,-0.1875
49,2019-09-02 09:31:00,-0.2
50,2019-09-02 09:31:00,-0.35
4,2019-09-03 07:59:00,1.0
5,2019-09-01 00:52:00,0.0625
8,2019-08-30 09:24:00,-0.04
10,2019-08-25 03:34:00,0.425
13,2019-08-21 00:09:00,1.0
14,2019-08-18 11:56:00,-0.15
17,2019-08-14 09:39:00,1.0
26,2019-09-09 03:05:00,-0.7
29,2019-09-09 07:53:00,-0.35625
30,2019-08-09 14:12:00,-0.18787878787878787
