,date,retweets,favorites,text,VADER score
4,2019-09-16 10:09,41,66,Check out crude oil ’s biggest spike in history following an attack on a major Saudi oil processing facility pic.twitter.com/8YagRspmAs,-0.7783
6,2019-09-16 09:08,42,51,Goldman Sachs says an extended Saudi outage could push Brent crude oil prices above $75 https:// cnb.cx/2AllZdl,-0.5719
7,2019-09-16 09:04,15,73,Drone attack in Saudi has highly impacted crude oil prices. Its impact on petrol & diesel prices is going to be the biggest news in the coming week Keep an eye on it.,-0.7951
9,2019-09-16 01:47,177,1983,"Saudi oil facilities attack leads to 20% one day jump in crude oil prices! This is big news. Could be a big blow to our economy. Again, major steps needed to bring Indian economy on track. Tinkering around with a scheme here and there and council meetings will do little.",-0.7959
13,2019-09-15 19:08,244,371,Brent crude oil prices up more than $10 a barrel - about a fifth - after markets opening for first time since drone attack knocked out vast swathe of Saudi refining capacity... that is an extraordinary jump.,-0.7783
14,2019-09-15 09:25,292,587,Hi Energy Twitter: today’s lesson is on the gas oil separation plant (GOSP). (Thread) All Saudi crude oil production goes from the well head (oil production well) through a gathering system and is then processed in the GOSP. Learn this acronym. It’s going to be important,0.0772
16,2019-09-14 19:26,1312,2561,"Iran's Provocation: Iran seizes tankers, shoots down US drone, attacks Saudi oil facilities, costs Saudi Arabia about five million barrels a day, roughly 5% of the world’s daily production of crude oil https://www. wsj.com/articles/drone -strikes-spark-fires-at-saudi-oil-facilities-11568443375?shareToken=std385be2cd764489faa4ea636df53c081 … via @WSJ #MAGA @realDonaldTrump #AmericaFirst #Dobbs",-0.765
18,2019-09-14 15:49,560,1665,Just a quick note of comfort to eastern Canadians (esp PQ) who might run short of crude oil with the Saudi Arabian drone based terrorist attacks. We in the West have your back. Once we get a pipeline built. Let us know when you need it... #Bill69 will slow it down...,-0.8689
30,2019-09-15 19:39,211,257,"Saudi Aramco, the kingdom’s state-owned oil company, said that it had suspended production of 5.7m barrels of crude oil https:// econ.st/30lC5yi",-0.7783
32,2019-09-15 19:02,278,221,"Wow. Brent crude oil showing up almost 20% on open. From $60 to $71 a barrel in blink of an eye, following the attacks in Saudi Arabia this weekend #OOTT pic.twitter.com/as2rqFqwbC",-0.4215
