,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,VADER score
0,27/10/2019 15:30,0,2,US market close: Dow Jones +152.5pts or +0.6% S&P500 +12.26pts or +0.4% Nasdaq +57.3pts or +0.7% #Gold +60c to US$1505.3/oz #Oil +0.8% to US$56.66/bl #ironore +0.7% to US$87.65/t 10-yr treasury yield 1.7995 SPI +24pts or +0.36% #AUDUSD $0.6823 #ausbiz,,,#Gold #Oil #ironore #AUDUSD #ausbiz,"1,18852E+18",https://twitter.com/CommSec/status/1188523336814346240,0.2023
2,27/10/2019 15:21,1,3,#zioc totally agree. So much more there than already stated. Wouldn’t be surprised if the resource easily above 3 billion tonnes. #zanaga #ironore #mining pic.twitter.com/kSwlhQCoh4,,,#zioc #zanaga #ironore #mining,"1,18852E+18",https://twitter.com/ZIOC_2018/status/1188521105000226816,0.7264
4,27/10/2019 15:09,3,7,The futures largest infrastructure project of #ironore in Africa! - Simandou - I don’t think so!! #ZANAGA the worlds 5th largest high grade iron ore mine (could be 2nd largest) in the world No wonder #China are wanting this deal - Lifetime supply! 1/10th Capex required! #ZIOC https:// twitter.com/keitus14/statu s/1185885405939404803 … pic.twitter.com/bsPFKOxq2L,,,#ironore #ZANAGA #China #ZIOC,"1,18852E+18",https://twitter.com/Victori88509192/status/1188518160556802050,-0.5216
5,27/10/2019 14:38,1,1,"China doesn't care about pollution, says iron ore miner: Financial Review https://www. afr.com/companies/mini ng/china-doesn-t-care-about-pollution-says-iron-ore-miner-20191025-p53468 … MORE w/ EcoSearch - news: https:// search.ecointernet.org/search/results ?q=pollution%20china%20doesnt%20care%20say%20iron%20ore%20miner&w=relevance … web: https:// search.ecointernet.org/search/results ?q=pollution%20china%20doesnt%20care%20say%20iron%20ore%20miner&s=web …",,,,"1,18851E+18",https://twitter.com/EcoInternetDrGB/status/1188510181388238848,-0.4567
7,27/10/2019 14:30,27,88,"“There is another reason why the Congress was able to consolidate its ground in Bastar”, Mishra told The Wire, adding that “it is the returning of the land to the tribals that had been acquired for iron ore mining.” https:// thewire.in/politics/chhat tisgarh-how-bastar-became-bjp-mukt …",,,,"1,18851E+18",https://twitter.com/thewire_in/status/1188508155161927680,0.0
9,27/10/2019 13:45,0,1,"His point is that you goofed but of course, your arrogant &ignorant mind doesn't want to own up to your blatant lies &wrong analyses. Simply admit that steel can be manufactured with imported iron ore as seen in the Japan example instead of this 'ogboju pass power' approach",,,,"1,1885E+18",https://twitter.com/ORONSofGOD/status/1188496963131641866,-0.7983
11,27/10/2019 13:04,3,10,#Zioc #China can see the full $1Trillion investment income from the worlds 5th largest #IronOre mine. all set for JV/BuyOut for a measly sum of $1Bn https://www. bloomberg.com/news/articles/ 2019-10-25/miner-outpacing-tech-giants-burrito-icon-says-gains-can-last?utm_source=url_link …,,,#Zioc #China #IronOre,"1,18849E+18",https://twitter.com/bluejug2001/status/1188486710688210945,0.0
12,27/10/2019 13:03,0,1,Its low grade magnetite with very high capex to beneficiate to high grade ore - trillions of tonnes in the Pilbara -- but if Zanaga can get that away with no infrastructure a long way from a port we can all celebrate what would clearly be a goldilocks demand for iron ore https:// twitter.com/bluejug2001/st atus/1188463590405222400 …,,,,"1,18849E+18",https://twitter.com/iron_northwest/status/1188486488511528961,0.7184
13,27/10/2019 12:49,1,3,#China ’s old-school appetite for #ironore has catapulted #Fortescue Metals Group Ltd. ahead of some of the hottest tech sector giants and a fast-food #behemoth as one of this year’s best performing global stocks. https://www. bloomberg.com/news/articles/ 2019-10-25/miner-outpacing-tech-giants-burrito-icon-says-gains-can-last … @krystalchia,,@krystalchia,#China #ironore #Fortescue #behemoth,"1,18848E+18",https://twitter.com/karun_f7/status/1188482982648135681,0.6369
18,27/10/2019 11:32,8,14,#Zioc #China Huge demand for #IronOre 6.9Bnt untapped reserve 68Fe% @Zanaga_ Iron_Ore https://www. scmp.com/economy/china- economy/article/3033564/china-doubles-value-infrastructure-project-approvals-stave …,,@Zanaga_,#Zioc #China #IronOre,"1,18846E+18",https://twitter.com/bluejug2001/status/1188463590405222400,0.2023
19,27/10/2019 11:18,1,1,$ LBRMF #IronOre #Canada #StockAlert #LabradorIronOre #TATA pic.twitter.com/3GcCY7R1Ao,,,#IronOre #Canada #StockAlert #LabradorIronOre #TATA,"1,18846E+18",https://twitter.com/simpleotc/status/1188460042665807874,0.0
21,27/10/2019 11:08,5,15,Truth is here the next ##ZIOC RNS is likely to be a suspension one JV or buyout deal has to be happening in the background now as recent big buys suggest #ZANAGA is like a ticking bomb ready to explode #China #Ironore #Simandou #Nfx #Eua #Prem #Vast https:// twitter.com/zioc_2018/stat us/1188438825674203136 …,,,# #ZIOC #ZANAGA #China #Ironore #Simandou #Nfx #Eua #Prem #Vast,"1,18846E+18",https://twitter.com/Victori88509192/status/1188457553753268224,0.4767
