,date,variation,Time,VADER score,favorites,weekday,date_backup
0,2019-08-13 09:31:00,3.801945181255519,09:31:00,0.0,15,1,2019-08-13 07:41:00
1,2019-08-13 14:32:00,0.1280956447480719,14:32:00,-0.7269,11,1,2019-08-13 14:32:00
2,2019-08-14 13:08:00,-0.1345291479820645,13:08:00,0.3818,29,2,2019-08-14 13:08:00
3,2019-08-14 13:38:00,-0.8504923903312402,13:38:00,0.8338,70,2,2019-08-14 13:38:00
4,2019-08-15 09:31:00,-0.9485094850948599,09:31:00,0.0,29,3,2019-08-15 07:20:00
5,2019-08-15 09:31:00,-0.9485094850948599,09:31:00,0.4767,17,3,2019-08-15 01:48:00
6,2019-08-16 09:31:00,-1.4505893019038893,09:31:00,0.0,21,4,2019-08-16 02:05:00
7,2019-08-16 09:31:00,-1.4505893019038893,09:31:00,0.4404,17,3,2019-08-15 22:43:00
8,2019-08-16 09:31:00,-1.4505893019038893,09:31:00,0.1406,19,3,2019-08-15 21:48:00
9,2019-08-16 09:31:00,-1.4505893019038893,09:31:00,0.4404,13,3,2019-08-15 18:42:00
10,2019-08-16 12:36:00,-0.09689213893967974,12:36:00,0.6597,44,4,2019-08-16 12:36:00
11,2019-08-19 09:31:00,-1.8132366273798652,09:31:00,0.4003,30,0,2019-08-19 03:54:00
12,2019-08-21 12:44:00,0.18464351005484048,12:44:00,0.5267,427,2,2019-08-21 12:44:00
13,2019-08-21 13:23:00,0.0036496350364814134,13:23:00,0.8402,45,2,2019-08-21 13:23:00
14,2019-08-22 09:31:00,-1.4304769789798115,09:31:00,-0.6597,68,3,2019-08-22 07:12:00
15,2019-08-22 09:31:00,-1.4304769789798115,09:31:00,-0.2604,26,3,2019-08-22 03:51:00
16,2019-08-23 09:31:00,0.9302325581395365,09:31:00,-0.1045,107,4,2019-08-23 06:13:00
17,2019-08-26 09:31:00,-2.1020390637672506,09:31:00,0.0,168,0,2019-08-26 09:30:00
18,2019-08-26 09:31:00,-2.1020390637672506,09:31:00,-0.1027,43,0,2019-08-26 04:20:00
19,2019-08-26 09:31:00,-2.1020390637672506,09:31:00,-0.7615,50,0,2019-08-26 03:15:00
20,2019-08-26 09:31:00,-2.1020390637672506,09:31:00,0.0,322,6,2019-08-25 06:40:00
21,2019-08-26 09:31:00,-2.1020390637672506,09:31:00,0.0,796,6,2019-08-25 01:30:00
22,2019-08-26 12:42:00,-0.6931268151016496,12:42:00,0.0,79,0,2019-08-26 12:42:00
23,2019-08-26 13:57:00,0.11214041930765006,13:57:00,-0.4215,39,0,2019-08-26 13:57:00
24,2019-08-27 09:31:00,1.1165048543689267,09:31:00,0.0,2,1,2019-08-27 03:34:00
25,2019-08-27 09:31:00,1.1165048543689267,09:31:00,-0.2023,100,1,2019-08-27 02:57:00
26,2019-08-27 09:31:00,1.1165048543689267,09:31:00,-0.4404,136,1,2019-08-27 00:31:00
27,2019-08-27 09:39:00,-0.09624639076035635,09:39:00,0.29600000000000004,36,1,2019-08-27 09:39:00
28,2019-08-29 14:27:00,0.18816953889148635,14:27:00,-0.3612,1097,3,2019-08-29 14:27:00
29,2019-08-30 09:31:00,0.0905797101449366,09:31:00,0.3612,198,4,2019-08-30 07:18:00
30,2019-08-30 09:31:00,0.0905797101449366,09:31:00,-0.6705,74,4,2019-08-30 03:20:00
31,2019-09-09 10:01:00,0.13123359580052352,10:01:00,-0.6486,64,0,2019-09-09 10:01:00
32,2019-09-10 09:31:00,0.0,09:31:00,0.7469,422,1,2019-09-10 07:33:00
33,2019-09-13 14:06:00,-0.5700325732898932,14:06:00,-0.8316,1,4,2019-09-13 14:06:00
34,2019-09-16 09:31:00,0.03949480265204386,09:31:00,0.8481,104,5,2019-09-14 18:33:00
35,2019-09-16 09:31:00,0.03949480265204386,09:31:00,0.7783,102,4,2019-09-13 19:38:00
36,2019-09-16 11:04:00,0.0,11:04:00,0.7184,162,0,2019-09-16 11:04:00
37,2019-09-16 11:05:00,-0.1680672268907557,11:05:00,0.5574,104,0,2019-09-16 11:05:00
38,2019-09-16 12:07:00,-0.4627681952040348,12:07:00,0.3612,942,0,2019-09-16 12:07:00
39,2019-09-16 15:56:00,0.25412960609911295,15:56:00,0.0,581,0,2019-09-16 15:56:00
40,2019-09-17 09:31:00,0.9820666097352557,09:31:00,0.6486,85,1,2019-09-17 08:38:00
41,2019-09-17 09:31:00,0.9820666097352557,09:31:00,-0.636,2,1,2019-09-17 00:30:00
42,2019-09-17 09:31:00,0.9820666097352557,09:31:00,0.0,129,0,2019-09-16 21:03:00
43,2019-09-19 09:31:00,-0.08605851979345402,09:31:00,-0.1531,46,3,2019-09-19 03:57:00
44,2019-09-19 09:31:00,-0.08605851979345402,09:31:00,0.08800000000000001,40,3,2019-09-19 01:22:00
45,2019-09-19 09:47:00,0.5172413793103487,09:47:00,-0.802,30,3,2019-09-19 09:47:00
46,2019-09-23 09:31:00,0.34403669724770225,09:31:00,0.0,70,0,2019-09-23 09:09:00
47,2019-09-23 09:31:00,0.34403669724770225,09:31:00,0.2732,23,0,2019-09-23 06:00:00
