username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
stlouisfed;2019-08-21 20:50;9;4;"Weekly spot prices for Brent and West Texas Intermediate crude oil tick up to $58.25 and $55.31 per barrel, respectively. See the long-term trend in FRED http:// ow.ly/IoOs50vEZyG pic.twitter.com/ngQmUpkHkN";;;;"1164323820183982089";https://twitter.com/stlouisfed/status/1164323820183982089
vas_georgiadis;2019-08-21 19:48;1;4;"#Gold #silver #copper #crude #oil #WTI #brent #natural #gas #gasoline #commodities pic.twitter.com/iWk72fmnYZ";;;#Gold #silver #copper #crude #oil #WTI #brent #natural #gas #gasoline #commodities;"1164308382767099904";https://twitter.com/vas_georgiadis/status/1164308382767099904
TMXmoney;2019-08-21 17:10;1;0;"Commodities at close: Crude Oil $55.870 | Brent Crude $60.340 | Nat Gas $2.172 | More: http:// tmx.mn/1Ep4VC7";;;;"1164268589827989512";https://twitter.com/TMXmoney/status/1164268589827989512
wijaranakula;2019-08-21 16:59;3;1;"The U.S. petroleum product inventories, including gasoline, diesel and jet fuel, are piling up and are at their highest levels since Q3 2016. The crude oil inventories seem to be irrelevant to crude oil prices. $ WTIC $ BRENT #gasoline #oil $ USO $ CL pic.twitter.com/thtSMh3DXg";;;#gasoline #oil;"1164265793430773760";https://twitter.com/wijaranakula/status/1164265793430773760
realsmallspec;2019-08-21 15:26;0;1;"4 certain #stocks $ oil end red this week, month, yr. Crash just begin. Chart exact like Dec 2018. Bulls r screwed. Shorts $ crc $ mro $ xle $ work #es_f $ Brent win #crudeoil $ uso #oott #cl_f $ wti $ bno $ xop $ oih $ spx #SPX #SPX500 $ spy $ ndx $ qqq $ xlk #NASDAQ $ iwm #fintwit #StockMarket https:// twitter.com/realsmallspec/ status/1164216158259572737 …";;;#stocks #es_f #crudeoil #oott #cl_f #SPX #SPX500 #NASDAQ #fintwit #StockMarket;"1164242408512471041";https://twitter.com/realsmallspec/status/1164242408512471041
cmdtyEnergy;2019-08-21 14:23;0;1;"Oct WTI #crude #oil (CLU19) this morning was up by +0.26 (+0.46%), Oct Brent #crudeoil (CBV19) is up by +0.66 (+1.10%), and Oct RBOB #gasoline (RBU19) is up by +0.0093 (+0.60%). Learn more about today's markets here: https://www. barchart.com/story/news/cmd tynewswires/3533646/energy-complex-sees-support-from-eia-report-and-strength-in-stocks … pic.twitter.com/z80Pho2SaQ";;;#crude #oil #crudeoil #gasoline;"1164226478021763072";https://twitter.com/cmdtyEnergy/status/1164226478021763072
speametofficial;2019-08-21 14:13;0;2;"Trade talk- Prices of: WTI Crude oil Brent crude oil Natural gas Local prices of chennai! #1 #shapingthefuture #tradetalk pic.twitter.com/sSWdv93FcF";;;#1 #shapingthefuture #tradetalk;"1164223951590973440";https://twitter.com/speametofficial/status/1164223951590973440
EgmFutures;2019-08-21 11:37;1;2;"United States #Crude #Oil #Inventories fell by -2.732 million barrels in the week ended August 16th 2019, after a 1.580 million rise in the previous period and compared with market expectations of a -1.889 million decrease. #USD #WTI #BRENT #FUTURES #DGCX pic.twitter.com/MSpMDhCZMu";;;#Crude #Oil #Inventories #USD #WTI #BRENT #FUTURES #DGCX;"1164184708240027648";https://twitter.com/EgmFutures/status/1164184708240027648
baryal111;2019-08-21 11:35;1;4;"#EIA Petrolium Inventories (Last Four Week Total): Crude: -7.263 Mb Gasoline: +1.546 Mb Distillate: +1.307 Mb Cushing: -8.062 Mb #OOTT #Oil #energy #Brent #WTI #OPEC #crudeoil #crude #CL_F #shale";;;#EIA #OOTT #Oil #energy #Brent #WTI #OPEC #crudeoil #crude #CL_F #shale;"1164184309898629120";https://twitter.com/baryal111/status/1164184309898629120
baryal111;2019-08-21 11:31;5;5;"#EIA Petroleum Inventories Crude: -2.732 Mb Gasoline: +0.312 Mb Distillate: +2.610 Mb Cushing: -2.485 Mb Production: 12.3 Mb/d Total Demand: -1091 Kb/d (20.987 Mb/d) Total Petroleum Inventories: +4.0 Mb #OOTT #Oil #energy #Brent #WTI #OPEC #crudeoil #crude #CL_F #shale";;;#EIA #OOTT #Oil #energy #Brent #WTI #OPEC #crudeoil #crude #CL_F #shale;"1164183255966502920";https://twitter.com/baryal111/status/1164183255966502920
forexoilfort;2019-08-21 10:29;0;1;"Alberta Extends Oil Output Cuts to End of 2020 https:// ift.tt/2Hhn1eo | #oil #crudeoil #brentoil #forex #fx #trading #trade #livetradenews #brent #wti #crude";;;#oil #crudeoil #brentoil #forex #fx #trading #trade #livetradenews #brent #wti #crude;"1164167605642567682";https://twitter.com/forexoilfort/status/1164167605642567682
Sethinomics;2019-08-21 06:47;1;5;"I believe $ brent crude oil has bottomed out at 56 this month. Now expecting a move to 66 in few weeks. Once it breaks past 66....we can even see oil going back to 80-90 in 2020.";;;;"1164111667929608192";https://twitter.com/Sethinomics/status/1164111667929608192
macrohedged;2019-08-21 05:00;1;1;"On Wednesday: Most active strikes by Open Interest change for Crude Oil , these are ranked by OI change not strike! - https:// macrhed.com/LOOIAct #CL_F #CrudeOil #WTI $ USO #OOTT $ UCO $ DBO #Brent $ BNO $ XLE";;;#CL_F #CrudeOil #WTI #OOTT #Brent;"1164084738409283584";https://twitter.com/macrohedged/status/1164084738409283584
OES_Oil;2019-08-21 04:05;1;0;"BRENT CRUDE OIL PRICE: $60.33 per barrel. #oilprice";;;#oilprice;"1164071036746424321";https://twitter.com/OES_Oil/status/1164071036746424321
FXPRIMUS;2019-08-21 04:00;0;2;"#TuesdayReview WTI and Brent crude oil prices edged higher after the API reported US crude oil inventories declined by 3.45 million barrels last week. Attention will be on the EIA data due later today and Bloomberg estimate suggests a 1.5 million-barrel decline. #Forex #FXPRIMUS";;;#TuesdayReview #Forex #FXPRIMUS;"1164069669004857344";https://twitter.com/FXPRIMUS/status/1164069669004857344
