,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
0,DicksonKgabo,2019-09-16 17:33,0,2,"Ke jewa ke petrol le diesel price @akreana_ If Nigeria and Angola are oil rich countries in the African continent, why is South Africa still importing crude oil from the Saudi Arabia?",,@akreana_,,1173696426049769473,https://twitter.com/DicksonKgabo/status/1173696426049769473
1,CNBC,2019-09-16 14:10,20,26,"An extended Saudi oil outage could push Brent crude prices north of $75 per barrel as the historic attack on the country’s processing plant disrupts one of the globe’s largest energy supply chains, Goldman Sachs warned clients. https:// cnb.cx/2Apu4hf",,,,1173645277967912960,https://twitter.com/CNBC/status/1173645277967912960
2,CapeTalk,2019-09-16 14:08,0,1,[LISTEN] #TheMoneyShow https:// buff.ly/304jdZ6,,,#TheMoneyShow,1173644719949307910,https://twitter.com/CapeTalk/status/1173644719949307910
3,RaymondAThomas7,2019-09-16 13:47,2,5,"Saudi Arabia, OPEC’s most influential member and the world’s second-largest oil producer, accounts for more than 10 percent of daily crude oil production. A prolonged production stoppage or military conflict would have a big impact on oil prices and potentially dire consequences. pic.twitter.com/hDPQqL1t16",,,,1173639584187650059,https://twitter.com/RaymondAThomas7/status/1173639584187650059
4,CNBCFuturesNow,2019-09-16 10:09,41,66,Check out crude oil ’s biggest spike in history following an attack on a major Saudi oil processing facility pic.twitter.com/8YagRspmAs,,,,1173584817084088320,https://twitter.com/CNBCFuturesNow/status/1173584817084088320
5,edhubinfo,2019-09-16 09:52,1,6,"This, Saudi Aramco Oil drones attack, could do Nigeria favour. But the caveat is that; it's not sustainable. We need to diversify our economy and increase our export base. In the meantime, let's flourish amid higher Brent crude oil prices. https:// twitter.com/Nairametrics/s tatus/1173572634161930242 …",,,,1173580378222800897,https://twitter.com/edhubinfo/status/1173580378222800897
6,CNBC,2019-09-16 09:08,42,51,Goldman Sachs says an extended Saudi outage could push Brent crude oil prices above $75 https:// cnb.cx/2AllZdl,,,,1173569278936788992,https://twitter.com/CNBC/status/1173569278936788992
7,AnOpenLetter001,2019-09-16 09:04,15,73,Drone attack in Saudi has highly impacted crude oil prices. Its impact on petrol & diesel prices is going to be the biggest news in the coming week Keep an eye on it.,,,,1173568261100670976,https://twitter.com/AnOpenLetter001/status/1173568261100670976
8,FinPlanKaluAja1,2019-09-16 03:36,10,32,The world cannot do without Saudi Arabian or Iranian crude oil . However this may open the door to the world largest oil nation and newest exporter of crude oil ..the USA to offer US crude as a reliable alternative. OPEC risks being irrelevant as a swing producer pic.twitter.com/AC5QcXL7Ht,,,,1173485851881304064,https://twitter.com/FinPlanKaluAja1/status/1173485851881304064
9,chetan_bhagat,2019-09-16 01:47,177,1983,"Saudi oil facilities attack leads to 20% one day jump in crude oil prices! This is big news. Could be a big blow to our economy. Again, major steps needed to bring Indian economy on track. Tinkering around with a scheme here and there and council meetings will do little.",,,,1173458442897387520,https://twitter.com/chetan_bhagat/status/1173458442897387520
10,RanaRanadheer,2019-09-15 23:27,1,0,Saudi Aramco oil attack . Crude oil jumps nearly 10% pic.twitter.com/6XtLfhgt24,,,,1173423047031656448,https://twitter.com/RanaRanadheer/status/1173423047031656448
11,CNBCi,2019-09-15 20:15,6,2,Brent crude oil jumps 12% after drone strikes disrupt Saudi crude production https:// cnb.cx/30lWxPm,,,,1173374717287440385,https://twitter.com/CNBCi/status/1173374717287440385
12,speedlight,2019-09-15 19:26,0,2,"Öl Preise explodierten und steigen um über 10% momentan. U.S. West Texas Intermediate crude futures popped $5.72, or 10.4%, to $60.57 per barrel. Brent crude futures soared $7.09, or 11.8% to $67.31. https://www. cnbc.com/2019/09/15/us- crude-oil-jumps-15percent-after-drone-strikes-disrupt-saudi-crude-production.html …",,,,1173362563834425345,https://twitter.com/speedlight/status/1173362563834425345
13,faisalislam,2019-09-15 19:08,244,371,Brent crude oil prices up more than $10 a barrel - about a fifth - after markets opening for first time since drone attack knocked out vast swathe of Saudi refining capacity... that is an extraordinary jump.,,,,1173358009608744961,https://twitter.com/faisalislam/status/1173358009608744961
14,AmyJaffeenergy,2019-09-15 09:25,292,587,Hi Energy Twitter: today’s lesson is on the gas oil separation plant (GOSP). (Thread) All Saudi crude oil production goes from the well head (oil production well) through a gathering system and is then processed in the GOSP. Learn this acronym. It’s going to be important,,,,1173211181441568769,https://twitter.com/AmyJaffeenergy/status/1173211181441568769
15,MofaJapan_en,2019-09-15 05:11,13,8,【The Terror Attacks by the Houthis on Saudi Crude Oil Facilities in Eastern Province (Statement by Foreign Minister MOTEGI Toshimitsu)】 https://www. mofa.go.jp/press/release/ press4e_002624.html …,,,,1173147326371647493,https://twitter.com/MofaJapan_en/status/1173147326371647493
16,LouDobbs,2019-09-14 19:26,1312,2561,"Iran's Provocation: Iran seizes tankers, shoots down US drone, attacks Saudi oil facilities, costs Saudi Arabia about five million barrels a day, roughly 5% of the world’s daily production of crude oil https://www. wsj.com/articles/drone -strikes-spark-fires-at-saudi-oil-facilities-11568443375?shareToken=std385be2cd764489faa4ea636df53c081 … via @WSJ #MAGA @realDonaldTrump #AmericaFirst #Dobbs",,@WSJ @realDonaldTrump,#MAGA #AmericaFirst #Dobbs,1173000156125511681,https://twitter.com/LouDobbs/status/1173000156125511681
17,elcitizen,2019-09-14 17:44,43,21,"Saudi Arabia’s production shutdown amounts to a loss of about five million barrels a day, roughly 5% of the world’s daily production of crude oil https://www. wsj.com/articles/drone -strikes-spark-fires-at-saudi-oil-facilities-11568443375 …",,,,1172974493368799233,https://twitter.com/elcitizen/status/1172974493368799233
18,WBrettWilson,2019-09-14 15:49,560,1665,Just a quick note of comfort to eastern Canadians (esp PQ) who might run short of crude oil with the Saudi Arabian drone based terrorist attacks. We in the West have your back. Once we get a pipeline built. Let us know when you need it... #Bill69 will slow it down...,,,#Bill69,1172945458727198721,https://twitter.com/WBrettWilson/status/1172945458727198721
19,abati1990,2019-09-14 09:20,12,17,"Saudi ’s world largest crude oil facility on fire, hit by drones https:// reubenabati.com.ng/index.php/comp onent/k2/item/8610-saudi-s-world-largest-crude-oil-facility-on-fire-hit-by-drones … pic.twitter.com/Yv4w836x3c",,,,1172847685294010368,https://twitter.com/abati1990/status/1172847685294010368
20,LarryAdamRJ,2019-09-16 15:05,2,2,"Gasoline prices are poised to increase along with the price of crude oil following the attack on the Saudi production facility. However, this is unlikely to impact consumer spending habits until crude oil rises above $70/barrel (currently WTI=$62/barrel). pic.twitter.com/3wLc7IoY7v",,,,1173659153039941633,https://twitter.com/LarryAdamRJ/status/1173659153039941633
21,Radio702,2019-09-16 14:06,0,0,[LISTEN] #TheMoneyShow https:// buff.ly/304jdZ6,,,#TheMoneyShow,1173644222798401541,https://twitter.com/Radio702/status/1173644222798401541
22,cgtnamerica,2019-09-16 13:57,1,1,Oil prices jumped after the loss of 5% of world crude oil output in an attack on Saudi Arabia's largest oil processing plant. #SaudiAramco pic.twitter.com/UnsgBIdP8l,,,#SaudiAramco,1173642161163767810,https://twitter.com/cgtnamerica/status/1173642161163767810
23,CNBC,2019-09-16 10:14,26,25,"Brent crude oil spikes the most in history after Saudi attacks, last up 10%. https:// cnb.cx/30pg81c pic.twitter.com/uPKcs7KyUt",,,,1173585951244861441,https://twitter.com/CNBC/status/1173585951244861441
24,pkchin888,2019-09-16 09:44,0,0,"#Sept16th @GoldmanSachs #GS Goldman Sach Warning Oil Prices $75 bbl"" Goldman Sachs says an extended Saudi outage could push Brent crude oil prices above $75 https:// cnb.cx/304vmfW""",,@GoldmanSachs,#Sept16th #GS,1173578355985321984,https://twitter.com/pkchin888/status/1173578355985321984
25,FirstSquawk,2019-09-16 09:34,24,41,SAUDI ARABIA SHUTS DOWN CRUDE OIL PIPELINE TO BAHRAIN AFTER ATTACKS ON SAUDI OIL FACILITIES - TRADE SOURCES #OOTT,,,#OOTT,1173575783962406912,https://twitter.com/FirstSquawk/status/1173575783962406912
26,News_1jl4,2019-09-16 09:05,0,0,Brent crude oil spikes the most in history after Saudi attac.. @News_1jl4 - CNBC - Twitter - News - Noticias - Bitcoin - CryptoCurrency - @InvestCrypForex - @1jl4com - @Health14Fitness - @Marketing_1jl4 > http:// tinyurl.com/y2f3wb42,,@News_1jl4 @InvestCrypForex @1jl4com @Health14Fitness @Marketing_1jl4,,1173568525014884352,https://twitter.com/News_1jl4/status/1173568525014884352
27,tradingview,2019-09-16 08:09,16,42,"Oil +19% after a drone attack on the Saudi oil facility. This is the biggest intraday jump, however, some say that it's just a beginning. Stay in focus.",,,,1173554586281492480,https://twitter.com/tradingview/status/1173554586281492480
28,TRTWorldNow,2019-09-15 23:45,0,3,Crude oil prices jump after drone strikes halve Saudi oil output pic.twitter.com/6BKet2VeFI,,,,1173427651945484288,https://twitter.com/TRTWorldNow/status/1173427651945484288
