,Unnamed: 0,date,text,VADER score
3,9,2019-09-16 09:31:00,"Saudi oil facilities attack leads to 20% one day jump in crude oil prices! This is big news. Could be a big blow to our economy. Again, major steps needed to bring Indian economy on track. Tinkering around with a scheme here and there and council meetings will do little.",-0.7959
5,14,2019-09-15 09:31:00,Hi Energy Twitter: today’s lesson is on the gas oil separation plant (GOSP). (Thread) All Saudi crude oil production goes from the well head (oil production well) through a gathering system and is then processed in the GOSP. Learn this acronym. It’s going to be important,0.0772
18,84,2019-09-16 09:31:00,"Following the Iranian attack on it’s two largest oil facilities, Saudi Arabia's energy minister said the strikes had reduced crude oil production by 5.7 million barrels a day - about half the kingdom's output. pic.twitter.com/nAGgKEDU1n",-0.802
23,228,2019-09-01 09:31:00,#السعودية إنتاج النفط الخام في السعودية منذ اكتشافه وحتى الآن. #النفط Saudi crude oil production since discovery #oil #SaudiArabia pic.twitter.com/cjEbIVKAkS,-0.5719
5,14,2019-09-16 09:31:00,Hi Energy Twitter: today’s lesson is on the gas oil separation plant (GOSP). (Thread) All Saudi crude oil production goes from the well head (oil production well) through a gathering system and is then processed in the GOSP. Learn this acronym. It’s going to be important,0.0772
23,228,2019-09-02 09:31:00,#السعودية إنتاج النفط الخام في السعودية منذ اكتشافه وحتى الآن. #النفط Saudi crude oil production since discovery #oil #SaudiArabia pic.twitter.com/cjEbIVKAkS,-0.5719
3,9,2019-09-16 01:47:00,"Saudi oil facilities attack leads to 20% one day jump in crude oil prices! This is big news. Could be a big blow to our economy. Again, major steps needed to bring Indian economy on track. Tinkering around with a scheme here and there and council meetings will do little.",-0.7959
5,14,2019-09-15 09:25:00,Hi Energy Twitter: today’s lesson is on the gas oil separation plant (GOSP). (Thread) All Saudi crude oil production goes from the well head (oil production well) through a gathering system and is then processed in the GOSP. Learn this acronym. It’s going to be important,0.0772
7,18,2019-09-14 15:49:00,Just a quick note of comfort to eastern Canadians (esp PQ) who might run short of crude oil with the Saudi Arabian drone based terrorist attacks. We in the West have your back. Once we get a pipeline built. Let us know when you need it... #Bill69 will slow it down...,-0.8689
10,34,2019-09-15 11:06:00,EXCLUSIVE: Saudi Arabia is close to restoring as much as 40% of the nearly 6 million barrels per day of crude oil production capacity knocked out by aerial attacks on Saturday http://www. energyintel.com/pages/eig_arti cle.aspx?DocID=1048097&utm_campaign=top-story&utm_medium=site&utm_source=1&utm_content=Saudi+Starts+Restoring+Some+Output+After+Attacks-1048097&ts=1 … #aramco #OOTT,-0.4883
11,36,2019-09-14 12:23:00,"This Houthi attack was the largest and most effective on the Saudi regime, which is starving MILLIONS of Yemeni civilians. The production shutdown amounts to a loss of 5 million barrels a day, roughly 5% of the whole world’s daily production of crude oil . https://www. wsj.com/articles/drone -strikes-spark-fires-at-saudi-oil-facilities-11568443375 …",-0.818
18,84,2019-09-16 01:18:00,"Following the Iranian attack on it’s two largest oil facilities, Saudi Arabia's energy minister said the strikes had reduced crude oil production by 5.7 million barrels a day - about half the kingdom's output. pic.twitter.com/nAGgKEDU1n",-0.802
23,228,2019-09-01 00:04:00,#السعودية إنتاج النفط الخام في السعودية منذ اكتشافه وحتى الآن. #النفط Saudi crude oil production since discovery #oil #SaudiArabia pic.twitter.com/cjEbIVKAkS,-0.5719
4,13,2019-09-16 09:31:00,Brent crude oil prices up more than $10 a barrel - about a fifth - after markets opening for first time since drone attack knocked out vast swathe of Saudi refining capacity... that is an extraordinary jump.,-0.7783
8,30,2019-09-16 09:31:00,"Saudi Aramco, the kingdom’s state-owned oil company, said that it had suspended production of 5.7m barrels of crude oil https:// econ.st/30lC5yi",-0.7783
9,32,2019-09-16 09:31:00,"Wow. Brent crude oil showing up almost 20% on open. From $60 to $71 a barrel in blink of an eye, following the attacks in Saudi Arabia this weekend #OOTT pic.twitter.com/as2rqFqwbC",-0.4215
12,47,2019-09-16 09:31:00,US crude oil jumps 15% after drone strikes disrupt Saudi crude production https:// cnb.cx/2Ax4RBH,-0.872
13,48,2019-09-16 09:31:00,"BREAKING: Brent crude oil surges more than 17%, WTI crude oil surges more than 14% after attack on Saudi oil facility cut production over the weekend http:// cnbc.com/id/106130682 pic.twitter.com/DQWun1L6wO",-0.9118
15,60,2019-09-16 09:31:00,"Dear #MAGA , be sure to thank Trump for: - helping N. Korea improve its missiles - adding $2,000 per household in new tariff taced - robbing our military to build a wall Mexico should have - putting farmers on corporate welfare - and now raising gas prices https://www. cnbc.com/2019/09/15/us- crude-oil-jumps-15percent-after-drone-strikes-disrupt-saudi-crude-production.html …",0.8885
16,61,2019-09-16 09:31:00,"UPDATE, #Saudi and #Iran Tension • Trump : US “locked and loaded” • Crude oil prices 18% • NSC Meeting concluded • US released sat. images • Saudi hasn’t made official Accusation after Houthi claimed • Aramco fixing facilities https://www. thenational.ae/world/gcc/saud i-aramco-races-to-repair-oil-facility-after-attacks-cut-country-s-production-by-half-1.910497 …",-0.7906
6,16,2019-09-16 09:31:00,"Iran's Provocation: Iran seizes tankers, shoots down US drone, attacks Saudi oil facilities, costs Saudi Arabia about five million barrels a day, roughly 5% of the world’s daily production of crude oil https://www. wsj.com/articles/drone -strikes-spark-fires-at-saudi-oil-facilities-11568443375?shareToken=std385be2cd764489faa4ea636df53c081 … via @WSJ #MAGA @realDonaldTrump #AmericaFirst #Dobbs",-0.765
