,date,retweets,favorites,text,VADER score
10,2019-09-16 10:49,7,20,Seasonality is a significant factor in commodity prices . How does seasonality impact crude oil prices ? Insights via @CMEGroup pic.twitter.com/FxXGgk4AHD,-0.4404
14,2019-09-16 08:37,3,13,"Crude oil prices have gone up, Nigeria will make more money; but the Government will not tell us",-0.3291
15,2019-09-16 01:47,180,2011,"Saudi oil facilities attack leads to 20% one day jump in crude oil prices ! This is big news. Could be a big blow to our economy. Again, major steps needed to bring Indian economy on track. Tinkering around with a scheme here and there and council meetings will do little.",-0.7959
16,2019-09-15 19:08,243,370,Brent crude oil prices up more than $10 a barrel - about a fifth - after markets opening for first time since drone attack knocked out vast swathe of Saudi refining capacity... that is an extraordinary jump.,-0.7783
20,2019-09-19 21:11,10,27,Only a limited impact on inflation is expected in view of spiked crude oil prices amidst the ongoing crisis in Saudi Arabia: RBI Governor Shaktikanta Das pic.twitter.com/YlwNyZBEhJ,-0.8658
27,2019-09-16 11:09,19,27,"Remarkably, #oil has not even hit $70 per barrel this morning. 10, 20, 30, .... years ago, half of Saudi Arabia’s oil production going offline would have sent #crude oil prices skyrocketing. #mondaythoughts https:// twitter.com/David_Kudla/st atus/1173129419537428480 …",-0.128
31,2019-09-16 05:13,11,20,Markets today after #NirmalaSitharaman announced mega stimulus packages over the weekend: BSE Sensex crashes 270 points #Nifty down by over 80 points INR vs US Dollar at Rs.71.44 With crude oil prices shooting up by nearly 9% picture abhi baki hai! #HowdyModi ? pic.twitter.com/fEdTuBqMm9,-0.6114
32,2019-09-15 20:06,121,151,"UPDATE, #Saudi and #Iran Tension • Trump : US “locked and loaded” • Crude oil prices 18% • NSC Meeting concluded • US released sat. images • Saudi hasn’t made official Accusation after Houthi claimed • Aramco fixing facilities https://www. thenational.ae/world/gcc/saud i-aramco-races-to-repair-oil-facility-after-attacks-cut-country-s-production-by-half-1.910497 …",-0.7906
43,2019-09-16 09:04,15,73,Drone attack in Saudi has highly impacted crude oil prices . Its impact on petrol & diesel prices is going to be the biggest news in the coming week Keep an eye on it.,-0.7951
98,2019-09-16 02:57,4,20,"Report: The rupee tumbled by 68 paise to Rs 71.60 against the USD in early trade on Monday, as a sharp jump in global crude oil prices dampened investor sentiments. https://www. timesnownews.com/business-econo my/markets/article/rupee-tumbles-68-paise-to-71-60usd-in-early-trade-on-sharp-rise-in-crude-prices/489457 …",-0.5719
99,2019-09-15 23:35,260,354,"Dear #MAGA , be sure to thank Trump for: - helping N. Korea improve its missiles - adding $2,000 per household in new tariff taced - robbing our military to build a wall Mexico should have - putting farmers on corporate welfare - and now raising gas prices https://www. cnbc.com/2019/09/15/us- crude-oil-jumps-15percent-after-drone-strikes-disrupt-saudi-crude-production.html …",0.8885
104,2019-09-15 02:23,52,260,Brace for a bumpy Monday as crude oil prices could skyrocket. Middle-East tensions could also rise. A drone attack shut down half of Saudi Arabia’s oil production & exports. India must urgently undertake a security review in order to safeguard all its facilities @dpradhanbjp https:// twitter.com/business/statu s/1173000455766646785 …,-0.6705
108,2019-09-14 05:32,6,16,"Drone attacks have caused fires at two major facilities run by Saudi Aramco, Saudi Arabia's state-owned oil giant. Crude oil prices expected spike when markets open on Monday #SaudiAramco #droneattack #CrudeOil",-0.765
113,2019-09-13 07:17,10,13,Lets clear the Myth of High ' Crude Oil ' rates during #ManmohanSingh tenure and concurrent Petrol prices . (Thread) pic.twitter.com/wCQxaXrTHb,-0.2732
116,2019-09-11 18:20,15,28,"Crude oil prices hover around $60 per barrel, but analysts say Saudi Arabia — the world's largest oil exporter — needs it to be at least $80 a barrel in order to balance the budget and prop up the crown prince's vision to diversify the kingdom's economy. https:// n.pr/34E6hrF",0.0387
117,2019-09-11 14:04,26,50,OPEC has cuts is global oil demand forecast for the second consecutive month. Where will this lead crude oil prices ? Insights via @CMEGroup pic.twitter.com/PZUFJgKyMU,-0.7506
118,2019-09-06 20:16,10,20,Crude Oil prices will jump to $120 - Make Saudi Arabia great again https:// twitter.com/ewarren/status /1170070887887986690 …,0.1027
119,2019-09-05 13:42,4,46,"By tying AB economy to crude oil prices , and having no plan for the downturns, AB conservative gov'ts created a revenue problem. If that doesn't change, then AB's economic woes will only get worse.",-0.9118
120,2019-09-03 08:15,3,39,"We were number in Africa from 2012-2013 because of the high levels of crude oil prices of about $120. We dropped in 2014 when the price of oil dropped. We will be no1 again if price of oil goes back to 2012 level. And our growth rate is not 1.9%, that's a fake figure sir.",0.1911
121,2019-09-02 07:41,26,57,Indian economy remained largely stable due to the strong governance and policies of Dr. Manmohan Singh: We grew at 7.16% in 2008-09 & at 8.99% in 2009-10. When the crude oil prices shot up internationally it was the UPA government that kept them stable. #EconomyKhatreMeinHai,0.4588
122,2019-09-01 23:38,122,306,"Ur respect for this man goes up when you realize that that Manmohan Singh deliveried higher GDP when there was - Coalition Govt, no Majority - Political Pressure - crony political partners - Extremely hostile opposition - Global Recession - Highest Crude oil prices of all time",-0.8655
123,2019-09-01 02:33,24,48,"Dr MMS never fed people with lies. Without majority in parliament, wid high crude oil prices &global recession economy did terrific under him. Everything is in favour of Modi n we r worse in GDP growth rate than Pak& Bangladesh.Rupee is performing worse. #DrSinghOnEconomicCrisis https:// twitter.com/ChandlerMuriel 6/status/1168030629566406656 …",-0.7845
124,2019-09-01 01:30,72,406,"Manmohan Singh, 10.08% GDP when, - Coalition Govt, no Majority. - Global Recession. - Highest Crude oil prices of all time. Narendra Modi, 5% GDP when, - Absolute Majority. - Global resurgence. - Low crude oil prices .",-0.926
