,date,retweets,favorites,text,VADER score
4,2019-01-10 09:31:00,19,93,"Libs waffle on about how good they are at managing the economy, truth is it’s all a charade based on record low rates, iron ore , population growth & housing. Libs also say they are going to reduce debt (never do) & hypercritically want the young to take debt on. No vision, joke.",0.4588
6,2019-05-10 09:31:00,56,1290,"The blue stuff on your map is easier to move goods over than the green stuff. Average sea freight time to Dampier from China is 9 days (Sydney is 15, but a lot of our iron ore and coal ships from up north). To the UK it's 29.",0.2263
7,2019-04-10 09:31:00,4,17,"India is now the world's 2nd largest producer of crude steel at 114mtpa and will be importing about 40-50mt ironore in 2020. This, along with Vietnam's surge and rising steel output in MENA, will keep #ironore market tight for the rest of the decade. New price highs coming. https:// twitter.com/FIMI_India/sta tus/1179992627506073600 …",-0.5719
11,2019-01-10 09:31:00,4,32,"As part of annual Reward & Recognition Program, on the occasion of OMC’s 64th #AnnualDay , Daitari Iron Ore Mines team led by Mr. Subrat Mishra bagged the Best Region Award (2018-19) for its overall achievement in #Mining activities including sales and production. pic.twitter.com/LTDH9fuRty",0.9081
12,2019-01-10 09:31:00,4,17,"As part of annual Reward & Recognition Program, on the occasion of OMC’s 64th #AnnualDay , South Kaliapani Chromite Mines, Kurmitar Iron Ore Mines and Sukurangi Chromite Mines bagged the Best Performing Mines 2018-19 awards for their overall achievements in #Mining activities. pic.twitter.com/piN1C5Nu3d",0.8979
14,2019-01-10 09:31:00,23,62,"In another recent order, @SAILsteel has been allowed to offload in a year up to a quantity equivalent to maximum 25% of total iron ore production in the previous year. We are committed to ensuring raw material securitization for the Indian steel industry.",0.5267
16,2019-09-27 09:31:00,16,45,"Vale, the world's largest iron ore miner, plans to supply high grade iron ore pellet feed & pellets to meet rising demand. Zanaga strategy aligned, and will produce an even higher quality product at 66-68.5% iron #ZIOC #zanaga #ironore #Congo #China #steel https://www. argusmedia.com/en/news/198438 7-vale-to-sell-iocj-as-iron-ore-pellet-feed …",-0.128
17,2019-09-27 09:31:00,116,386,"Sindh Environment Protection Agecy has sealed an illegal factory making iron ore by mixing of coal, iron chip & husk in Karachi. The factory with heavy blowers was emitting hazardous smoke which causes damage to environment & human-health seriously. Good job SEPA pic.twitter.com/0NT1dxn9ht",-0.6808
18,2019-09-27 09:31:00,10,21,Great call from @Barchart .!! Zanaga Iron Ore Co. @Zanaga_ Iron_Ore sat on one of the largest iron ore deposits in the World. Current Price = 11.74p. #ZIOC pic.twitter.com/2BN0UCeKey,0.6892
20,2019-09-25 09:31:00,238,1078,"We import coal and iron ore , despite the huge deposits we have. Iron ore is used to produce Iron, which is then used to produce Steel. Steel is used to produce Automobiles pic.twitter.com/9pExYdMahd",-0.2411
22,2019-09-24 09:31:00,17,132,I forgot this wild concept art was at the #Disneyland Hotel. Indiana Jones iron ore cart coaster & jeep adventure. Jungle Cruise boat teetering over the edge of a waterfall! DLRR chugging through the massive temple show building! Nina Rae Vaughn. pic.twitter.com/tVgsXe1aTA,0.4374
23,2019-09-22 09:31:00,25,50,Now that we are past the Northern Summer and the world gets back to work the outlook for #copper just keeps on getting better. All time record shorts on the CoT and real tightness in the copper cons market says copper will soon be following #ironore on its way to new AT highs pic.twitter.com/x7DlwjciIM,0.4404
24,2019-09-22 09:31:00,44,142,The Iron Whore...sorry.. iron ore ...rapidly became the centre-piece of the night...everyone deliberately oblivious to the fact that every cent she has was stolen from the Indigenous Australians...,-0.4939
25,2019-09-21 09:31:00,44,153,"Reviewed the performance of @nmdclimited , one of the largest mining companies of India in the presence of Shri @kishanreddybjp and senior officials of @SteelMinIndia . Instructed #NMDC to focus on increasing iron ore production and maximising productivity and profitability. pic.twitter.com/r4XsOSFY0s",0.2732
26,2019-09-21 09:31:00,38,62,". @JSPLCorporate 's TRB Iron Ore Mines in Tensa, #Odisha bags prestigious Mining Innovation Award by The Indian Mining & Engineering Journal for efforts to ensure eco-friendly and ecological balance in an ecologically fragile environment. Congratulations! @MPNaveenJindal pic.twitter.com/9MnQICO7tZ",0.9168
27,2019-09-21 09:31:00,8,32,After a year’s wait the Centre agrees to increasing cap of iron ore holdings in Odisha. Move to allow resumption of auctions and @TataSteelLtd ‘s participation in these http://www. ecoti.in/vXqgxZ91 via @economictimes,0.4019
28,2019-09-19 09:31:00,25,46,#China ’s #IronOre futures extend loss to 4.6% Singapore iron ore futures fell below $90 pic.twitter.com/MV6DFvE3tE,-0.1531
39,2019-12-09 09:31:00,257,390,Why no raw materials? Because there is no rail to take iron ore from Itakpe to Ajaokuta. Why no railway from Itakpe to Ajaokuta? Because NIOMCO in Itakpe is moribund and not functional thus cannot convert Itakpe iron ore to high grade ore for the furnace in Ajaokuta.,-0.7149
40,2019-12-09 09:31:00,257,395,"3. Railway: 15m tonnes of iron ore cannot be moved by road, as it will destroy the roads, thus a railway was to be built from Itakpe to Ajaokuta to take iron ore from the beneficiation plan in Itakpe to the Ajaokuta. Rail link not working today",-0.4767
42,2019-10-09 09:31:00,31,67,Honoured to be invited by China Development Bank and COIDIC to join the 5th Investing in Africa Forum with the World Bank and Rep. of Congo gov #ZIOC #Zanaga #ironore #infrastructure #China #Glencore #WorldBank #ChinaDevelopmentBank #Brazzaville #InvestinginAfricaForum #Congo pic.twitter.com/0a8h3tvKAF,0.6597
43,2019-10-09 09:31:00,98,84,"43,000 hectares of protected indigenous land and prime elephant habitat on the chopping block for iron ore in Jharkhand's Saranda forests reports @ikukreti . CM @dasraghubar bats to protect mining interests. What will @PrakashJavdekar #COP14 chair choose? https://www. downtoearth.org.in/news/mining/ce ntre-may-open-43-000-ha-of-jharkhand-s-saranda-forest-for-mining-66569?fbclid=IwAR1Jch4lGq45fQ-LALzvSymddTDijSXmLB6Et9y5uTXCsZ2L-DjaIyChoYo …",0.6072
