,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
0,mpondfield,2019-08-13 19:07,1,1,"Sometimes it takes just 1 wrong assumption for a fundamentals #forecast to lose any relevance & this is one of these cases"" http:// bit.ly/300JGmz #OPEC #Geopolitics #oil #shale #economics #EconomicGrowth #TradeWar #energy #markets #oilandgas #crudeoil #natgas #Brent #WTI #OOTT""",,,#forecast #OPEC #Geopolitics #oil #shale #economics #EconomicGrowth #TradeWar #energy #markets #oilandgas #crudeoil #natgas #Brent #WTI #OOTT,1161398799765528576,https://twitter.com/mpondfield/status/1161398799765528576
1,Forex24PRO,2019-08-13 17:58,0,1,"BRENT Crude Oil Forecast and analysis August 14, 2019 https:// goo.gl/fb/JbTXVz #brentoilforecast #commodities",,,#brentoilforecast #commodities,1161381655220752385,https://twitter.com/Forex24PRO/status/1161381655220752385
2,baryal111,2019-08-13 17:45,4,13,#API : Crude: +3.7 Mb Gasoline: +3.7 Mb Distillate: -1.3 Mb Cushing: -2.5 Mb #OOTT #Oil #energy #Brent #WTI #OPEC #crudeoil #crude #CL_F #shale,,,#API #OOTT #Oil #energy #Brent #WTI #OPEC #crudeoil #crude #CL_F #shale,1161378225488105472,https://twitter.com/baryal111/status/1161378225488105472
3,AlexisAshi,2019-08-13 16:26,0,1,#Oil soars near 5% on easing U.S.- #China trade tensions #crudeoil #WTI #Brent #oott https:// reut.rs/2KI6JMl,,,#Oil #China #crudeoil #WTI #Brent #oott,1161358328410361865,https://twitter.com/AlexisAshi/status/1161358328410361865
4,WtiOil,2019-08-13 11:59,5,8,Today's Crude Oil Prices: WTI: $56.77 (+1.84) Brent : $60.58 (+2.01) #crude #economics #business,,,#crude #economics #business,1161291314576666627,https://twitter.com/WtiOil/status/1161291314576666627
5,AzizSapphire,2019-08-13 10:56,1,2,Brent crude oil jumps to $60.30 pic.twitter.com/fg2HQ1FzuW,,,,1161275215000887299,https://twitter.com/AzizSapphire/status/1161275215000887299
6,IdeasPrime,2019-08-13 10:48,1,1,Brent Crude Oil | $ BCOUSD | $ BCO $ USD BRENT CRUDE OIL TO CONTINUE LOWER Long or short it on WCX: http:// wcex.com/trade/BCO-USD pic.twitter.com/g0jAsVvIQy,,,,1161273200753479680,https://twitter.com/IdeasPrime/status/1161273200753479680
7,TMXmoney,2019-08-13 10:40,0,1,Commodities at open: Crude Oil $54.660 | Brent Crude $58.500 | Nat Gas $2.139 | More: http:// tmx.mn/1Ep4VC7,,,,1161271328462315522,https://twitter.com/TMXmoney/status/1161271328462315522
8,macrohedged,2019-08-13 09:50,0,0,US Crude Oil front 12 months futures prices with the VWAP's as we go into the US RTH Session on Tuesday: https:// macrhed.com/CLpri #CL_F #CrudeOil #WTI $ USO #OOTT $ UCO $ DBO #Brent $ BNO $ XLE,,,#CL_F #CrudeOil #WTI #OOTT #Brent,1161258616386703363,https://twitter.com/macrohedged/status/1161258616386703363
9,Ole_S_Hansen,2019-08-13 05:46,3,12,Crude #oil traders have struggled for direction in recent months and it shows with the combined net-long in #WTI and #Brent struggling to move out of its 400k to 450k lots range #OOTT pic.twitter.com/UhzqIdaCJM,,,#oil #WTI #Brent #OOTT,1161197407754969094,https://twitter.com/Ole_S_Hansen/status/1161197407754969094
10,macrohedged,2019-08-13 05:00,1,0,"Most active strikes by Open Interest change for Crude Oil , these are ranked by OI change not strike! - https:// macrhed.com/LOOIAct #CL_F #CrudeOil #WTI $ USO #OOTT $ UCO $ DBO #Brent $ BNO $ XLE",,,#CL_F #CrudeOil #WTI #OOTT #Brent,1161185642937769984,https://twitter.com/macrohedged/status/1161185642937769984
