,date,retweets,favorites,text,VADER score
1,2019-09-16 14:10,20,26,"An extended Saudi oil outage could push Brent crude prices north of $75 per barrel as the historic attack on the country’s processing plant disrupts one of the globe’s largest energy supply chains, Goldman Sachs warned clients. https:// cnb.cx/2Apu4hf",-0.7783
4,2019-09-16 10:09,41,66,Check out crude oil ’s biggest spike in history following an attack on a major Saudi oil processing facility pic.twitter.com/8YagRspmAs,-0.7783
6,2019-09-16 09:08,42,51,Goldman Sachs says an extended Saudi outage could push Brent crude oil prices above $75 https:// cnb.cx/2AllZdl,-0.5719
7,2019-09-16 09:04,15,73,Drone attack in Saudi has highly impacted crude oil prices. Its impact on petrol & diesel prices is going to be the biggest news in the coming week Keep an eye on it.,-0.7951
8,2019-09-16 03:36,10,32,The world cannot do without Saudi Arabian or Iranian crude oil . However this may open the door to the world largest oil nation and newest exporter of crude oil ..the USA to offer US crude as a reliable alternative. OPEC risks being irrelevant as a swing producer pic.twitter.com/AC5QcXL7Ht,-0.9217
9,2019-09-16 01:47,177,1983,"Saudi oil facilities attack leads to 20% one day jump in crude oil prices! This is big news. Could be a big blow to our economy. Again, major steps needed to bring Indian economy on track. Tinkering around with a scheme here and there and council meetings will do little.",-0.7959
13,2019-09-15 19:08,244,371,Brent crude oil prices up more than $10 a barrel - about a fifth - after markets opening for first time since drone attack knocked out vast swathe of Saudi refining capacity... that is an extraordinary jump.,-0.7783
14,2019-09-15 09:25,292,587,Hi Energy Twitter: today’s lesson is on the gas oil separation plant (GOSP). (Thread) All Saudi crude oil production goes from the well head (oil production well) through a gathering system and is then processed in the GOSP. Learn this acronym. It’s going to be important,0.0772
16,2019-09-14 19:26,1312,2561,"Iran's Provocation: Iran seizes tankers, shoots down US drone, attacks Saudi oil facilities, costs Saudi Arabia about five million barrels a day, roughly 5% of the world’s daily production of crude oil https://www. wsj.com/articles/drone -strikes-spark-fires-at-saudi-oil-facilities-11568443375?shareToken=std385be2cd764489faa4ea636df53c081 … via @WSJ #MAGA @realDonaldTrump #AmericaFirst #Dobbs",-0.765
17,2019-09-14 17:44,43,21,"Saudi Arabia’s production shutdown amounts to a loss of about five million barrels a day, roughly 5% of the world’s daily production of crude oil https://www. wsj.com/articles/drone -strikes-spark-fires-at-saudi-oil-facilities-11568443375 …",-0.7184
18,2019-09-14 15:49,560,1665,Just a quick note of comfort to eastern Canadians (esp PQ) who might run short of crude oil with the Saudi Arabian drone based terrorist attacks. We in the West have your back. Once we get a pipeline built. Let us know when you need it... #Bill69 will slow it down...,-0.8689
19,2019-09-14 09:20,12,17,"Saudi ’s world largest crude oil facility on fire, hit by drones https:// reubenabati.com.ng/index.php/comp onent/k2/item/8610-saudi-s-world-largest-crude-oil-facility-on-fire-hit-by-drones … pic.twitter.com/Yv4w836x3c",-0.7269
23,2019-09-16 10:14,26,25,"Brent crude oil spikes the most in history after Saudi attacks, last up 10%. https:// cnb.cx/30pg81c pic.twitter.com/uPKcs7KyUt",-0.765
25,2019-09-16 09:34,24,41,SAUDI ARABIA SHUTS DOWN CRUDE OIL PIPELINE TO BAHRAIN AFTER ATTACKS ON SAUDI OIL FACILITIES - TRADE SOURCES #OOTT,-0.765
27,2019-09-16 08:09,16,42,"Oil +19% after a drone attack on the Saudi oil facility. This is the biggest intraday jump, however, some say that it's just a beginning. Stay in focus.",-0.4767
30,2019-09-15 19:39,211,257,"Saudi Aramco, the kingdom’s state-owned oil company, said that it had suspended production of 5.7m barrels of crude oil https:// econ.st/30lC5yi",-0.7783
31,2019-09-15 19:08,21,17,BREAKING: Crude oil prices jump 18 percent after attacks on Aramco installations cut Saudi oil output by half https://www. washingtonpost.com/news/business/ wp/2019/09/15/crude-prices-jump-18-percent-after-drone-strikes-halve-saudi-oil-output/ …,-0.8271
32,2019-09-15 19:02,278,221,"Wow. Brent crude oil showing up almost 20% on open. From $60 to $71 a barrel in blink of an eye, following the attacks in Saudi Arabia this weekend #OOTT pic.twitter.com/as2rqFqwbC",-0.4215
34,2019-09-15 11:06,175,253,EXCLUSIVE: Saudi Arabia is close to restoring as much as 40% of the nearly 6 million barrels per day of crude oil production capacity knocked out by aerial attacks on Saturday http://www. energyintel.com/pages/eig_arti cle.aspx?DocID=1048097&utm_campaign=top-story&utm_medium=site&utm_source=1&utm_content=Saudi+Starts+Restoring+Some+Output+After+Attacks-1048097&ts=1 … #aramco #OOTT,-0.4883
36,2019-09-14 12:23,164,308,"This Houthi attack was the largest and most effective on the Saudi regime, which is starving MILLIONS of Yemeni civilians. The production shutdown amounts to a loss of 5 million barrels a day, roughly 5% of the whole world’s daily production of crude oil . https://www. wsj.com/articles/drone -strikes-spark-fires-at-saudi-oil-facilities-11568443375 …",-0.818
37,2019-09-16 13:41,37,45,OIL PRICES: The loss of 5% of world crude oil output from an attack on Saudi Arabia's largest oil processing plant pushed crude prices sharply higher on Monday. https:// abcn.ws/30nREoY,-0.9153
38,2019-09-16 12:00,20,12,"Saudi Arabia shuts down its crude oil pipeline to Bahrain after Saturday’s attack reduces output, according to trade sources. https:// english.alarabiya.net/en/business/en ergy/2019/09/16/Saudi-Arabia-shuts-pipeline-to-Bahrain-after-oil-outage-Trade-sources.html …",-0.7783
40,2019-09-16 09:35,7,13,Saudi Arabia has shutdown its crude oil pipeline to Bahrain following Saudi oil attack - according to sources,-0.7783
47,2019-09-15 19:06,110,105,US crude oil jumps 15% after drone strikes disrupt Saudi crude production https:// cnb.cx/2Ax4RBH,-0.872
48,2019-09-15 19:05,531,457,"BREAKING: Brent crude oil surges more than 17%, WTI crude oil surges more than 14% after attack on Saudi oil facility cut production over the weekend http:// cnbc.com/id/106130682 pic.twitter.com/DQWun1L6wO",-0.9118
49,2019-09-15 12:30,11,11,"From Our Petroleum Economist, Karr Ingham: “Crude #oil production facilities in Saudi are likely going to rattle markets in the near term. Saudi production may drop by over 5 mil barrels per day until that production can be brought back online. “ http:// bit.ly/307zT2h",-0.2732
53,2019-09-16 09:00,6,25,#Explained | Saudi #Aramco Attacks: How will the #oil cut impact the world? The recent drone attacks on two Saudi oil facilities have affected the production of 5.7 million barrels of crude oil per day. How has the world supply been affected? pic.twitter.com/RUBw5AImIo,-0.9211
