,date,text,VADER score
2,2019-09-16 09:31:00,Goldman Sachs says an extended Saudi outage could push Brent crude oil prices above $75 https:// cnb.cx/2AllZdl,-0.5719
3,2019-09-16 09:31:00,Drone attack in Saudi has highly impacted crude oil prices. Its impact on petrol & diesel prices is going to be the biggest news in the coming week Keep an eye on it.,-0.7951
4,2019-09-16 09:31:00,The world cannot do without Saudi Arabian or Iranian crude oil . However this may open the door to the world largest oil nation and newest exporter of crude oil ..the USA to offer US crude as a reliable alternative. OPEC risks being irrelevant as a swing producer pic.twitter.com/AC5QcXL7Ht,-0.9217
5,2019-09-16 09:31:00,"Saudi oil facilities attack leads to 20% one day jump in crude oil prices! This is big news. Could be a big blow to our economy. Again, major steps needed to bring Indian economy on track. Tinkering around with a scheme here and there and council meetings will do little.",-0.7959
7,2019-09-15 09:31:00,Hi Energy Twitter: today’s lesson is on the gas oil separation plant (GOSP). (Thread) All Saudi crude oil production goes from the well head (oil production well) through a gathering system and is then processed in the GOSP. Learn this acronym. It’s going to be important,0.0772
11,2019-09-14 09:31:00,"Saudi ’s world largest crude oil facility on fire, hit by drones https:// reubenabati.com.ng/index.php/comp onent/k2/item/8610-saudi-s-world-largest-crude-oil-facility-on-fire-hit-by-drones … pic.twitter.com/Yv4w836x3c",-0.7269
14,2019-09-16 09:31:00,"Oil +19% after a drone attack on the Saudi oil facility. This is the biggest intraday jump, however, some say that it's just a beginning. Stay in focus.",-0.4767
26,2019-09-16 09:31:00,#Explained | Saudi #Aramco Attacks: How will the #oil cut impact the world? The recent drone attacks on two Saudi oil facilities have affected the production of 5.7 million barrels of crude oil per day. How has the world supply been affected? pic.twitter.com/RUBw5AImIo,-0.9211
27,2019-09-16 09:31:00,The weekend attack on the world's largest crude oil processing plant in Saudi Arabia that cut global oil supplies underscores how Aramco's stability is directly linked to its owners — the Saudi government and ruling family. By @ayaelb http:// apne.ws/JrkLbK2,-0.836
28,2019-09-16 09:31:00,"I might be wrong, but if we get our crude oil from Norway and the North Sea platforms, why are UK motorists going to be hit with fuel price rises at the pumps following the drone strike on Saudi oil facilities.",-0.8338
31,2019-09-15 09:31:00,Crude oil prices are expected to surge when Asian markets re-open Sunday night (U.S. time) as traders respond to Saturday's attacks against major oil processing and production sites in Saudi Arabia. https://www. axios.com/oil-prices-sau di-arabia-drone-strikes-aramco-22a2cda6-9312-4a56-bd1d-9cf519150b3a.html?utm_source=twitter&utm_medium=social&utm_campaign=organic …,-0.765
32,2019-09-14 09:31:00,"Drone attacks on Saudi 's Aramco Abqaiq oil processing facility, causing massive explosions. This is the largest the largest crude oil stabilisation plant in the world.There is no information about human casualties https://www. bbc.com/news/world-mid dle-east-49699429 …",-0.8316
33,2019-09-16 09:31:00,#OilPrices Jump The Highest Ever! Brent Crude Oil Soars 12% After Drone Attack Cuts Saudi Arabian Supplies https://www. abplive.in/business/oil-p rices-jump-the-highest-ever-brent-crude-oil-soars-12-after-drone-attack-cuts-saudi-arabian-supplies-1074784 …,-0.8516
34,2019-09-15 09:31:00,FX of biggest crude oil importers could start the week sharply lower if oil heads north towards $100/bbl due to drone attacks on Saudi oil plants. Indian rupee $ INR & Turkish lira $ TRY most fragile given big current account deficits. Also another headache for PBoC managing $ CNY pic.twitter.com/XjH11jTgOp,-0.8316
35,2019-09-16 09:31:00,"Following the Iranian attack on it’s two largest oil facilities, Saudi Arabia's energy minister said the strikes had reduced crude oil production by 5.7 million barrels a day - about half the kingdom's output. pic.twitter.com/nAGgKEDU1n",-0.802
40,2019-09-15 09:31:00,"World's #crudeoil supply under threat after attacks at #Saudi #oil facilities. Here's our #factbox on #oilprices , #infrastructure & #tradeflows : http:// plts.co/CXb850wagkl #OOTT #energy #SaudiAramco pic.twitter.com/MDHxG4aByO",-0.743
41,2019-09-15 09:31:00,"Saudi Aramco tells CNBC-TV18, attacks resulted in production suspension of 5.7 million barrels of crude oil per day. Work is underway to restore production and a progress update will be provided in around 48 hours pic.twitter.com/uARYs1HJQq",-0.3818
43,2019-09-14 09:31:00,2-Will the attacks lead to lower crude oil exports? We do not know at this stage. Will they lower production? We do not know either. What do we know? Majority of Saudi oil exports goes through Abqaiq facilities. pic.twitter.com/dQ1iGELOrw,-0.8895
46,2019-09-14 09:31:00,Saudi Aramco fire: Drones attack world's largest oil processing factory in Saudi https://www. livemint.com/news/world/sau di-aramco-fire-explosion-at-largest-crude-oil-stabilization-plant-says-report-1568432885559.html …,-0.6705
47,2019-09-14 09:31:00,Fire at Saudi Aramco's largest crude oil stabilization plant https://www. livemint.com/news/world/sau di-aramco-fire-explosion-at-largest-crude-oil-stabilization-plant-says-report-1568432885559.html …,-0.7269
54,2019-09-01 09:31:00,#السعودية إنتاج النفط الخام في السعودية منذ اكتشافه وحتى الآن. #النفط Saudi crude oil production since discovery #oil #SaudiArabia pic.twitter.com/cjEbIVKAkS,-0.5719
56,2019-08-19 09:31:00,"Crude oil prices climb after Saudi oilfield attack, but recession worries drag. https://www. timesnownews.com/business-econo my/world-news/article/crude-oil-prices-climb-after-saudi-oilfield-attack-but-recession-worries-drag/471312 …",-0.9209
60,2019-09-09 09:31:00,Brent + WTI net long positions unchanged week ending August 30. Long positions rose +4 mmb vs -1 previous week but shorts increased +4 vs -15. All of net long increase (+18 mmb) was Brent & all decrease (-18 mmb) was WTI. #OOTT #oilandgas #oil #WTI #CrudeOil #fintwit #OPEC pic.twitter.com/h69T7xxumb,0.6808
61,2019-09-09 09:31:00,Brent + WTI net long positions unchanged week ending August 30. Long positions rose +4 mmb vs -1 previous week but shorts increased +4 vs -15. All of net long increase (+18 mmb) was Brent & all decrease (-18 mmb) was WTI. #OOTT #oilandgas #oil #WTI #CrudeOil #fintwit #OPEC pic.twitter.com/h69T7xxumb,0.6808
62,2019-09-06 09:31:00,"Oil steadies, set for weekly gain amid hopes for end to US-China trade war -- Brent heading for a fourth weekly gain at $60.92 -- WTI on track for a second weekly increase at $56.20",0.7906
63,2019-09-01 09:31:00,#WTI crude #oil was sold following the Chinese tariff on US oil import announcement with longs being cut while fresh shorts were added. #Brent longs meanwhile saw a small 2% increase with both long and short sellers increasing their exposure #OOTT pic.twitter.com/QSffwv6dvl,-0.29600000000000004
64,2019-09-15 09:31:00,This #oil price poll from @anasalhajji says it all. We simply don't know. Specs added the most length ( Brent +WTI) in more than a year last Tuesday on ABS hopes. Only to be reduced ahead of the weekend following IEA's supply glut comments. #OOTT https:// twitter.com/anasalhajji/st atus/1173020656914587649 …,0.4215
68,2019-09-09 09:31:00,Brent + WTI net long positions unchanged week ending August 30. Long positions rose +4 mmb vs -1 previous week but shorts increased +4 vs -15. All of net long increase (+18 mmb) was Brent & all decrease (-18 mmb) was WTI. #OOTT #oilandgas #oil #WTI #CrudeOil #fintwit #OPEC pic.twitter.com/h69T7xxumb,0.6808
70,2019-09-05 09:31:00,"#CrudeOil inventories in the United States rose by 401,000 barrels in the week ended Aug. 30 to 429.1 million, compared with analysts’ expectations for a decrease of 2.5 million barrels. @EIAgov @APIenergy",0.4215
73,2019-09-09 09:31:00,Brent + WTI net long positions unchanged week ending August 30. Long positions rose +4 mmb vs -1 previous week but shorts increased +4 vs -15. All of net long increase (+18 mmb) was Brent & all decrease (-18 mmb) was WTI. #OOTT #oilandgas #oil #WTI #CrudeOil #fintwit #OPEC pic.twitter.com/h69T7xxumb,0.6808
74,2019-09-01 09:31:00,#WTI crude #oil was sold following the Chinese tariff on US oil import announcement with longs being cut while fresh shorts were added. #Brent longs meanwhile saw a small 2% increase with both long and short sellers increasing their exposure #OOTT pic.twitter.com/QSffwv6dvl,-0.29600000000000004
76,2019-08-16 09:31:00,"Nigeria In Weaker Position To Defend Self Against Economic Shock - @MoodysInvSvc 's | Sahara Reporters The agency added that the falling prices of raw materials like crude oil , and weak investor confidence will increase the cost of borrowing... READ MORE: http:// bit.ly/2YPAcOg pic.twitter.com/DXcCADLjGw",-0.6808
77,2019-09-12 09:31:00,"Positive investor sentiment buoyed by higher international crude oil prices, progress on the FATF front, increase in urea prices and constitution of a stockbroker committee pushed the benchmark index upwards. https:// tribune.com.pk/story/2054170/ 2-market-watch-kse-100-rises-expectations-fatf-meeting/ …",0.6124
78,2019-09-16 09:31:00,"Brent #oil up almost 10%, after rising as much as 20%, after #SaudiArabia oil installation attack. pic.twitter.com/9soWZH5jlZ",-0.4767
79,2019-09-16 09:31:00,"This is going to hurt at the Petrol Pumps, soon...  #Brent crude surged the most on record after a drone strike on a Saudi Arabian oil facility removed about 5% of global supplies"" (Bloomberg) Spiked as high as $72...Analysts say we can see highs of up to $100. pic.twitter.com/aQROGZGdip""",-0.8225
86,2019-09-16 09:31:00,"Global markets start the week on a slippery note as #oil jumps after Saudi facility attacks. Most of Asia and US stock futures fell while Gold & Yen, which are often considered haven assets during times of turmoil, edged up . Brent trades 10.7% higher. Gold >$1.5k, Bitcoin $10.3k. pic.twitter.com/XyRjlKsnVp",-0.5719
