username;date;retweets;favorites;text
IronOreRules;08/10/2019 20:06;0;0;⁦ @JoeBiden ⁩ ⁦ @realDonaldTrump ⁩ WOW .... and the impeachment inquiry really only began two weeks ago ? pic.twitter.com/Eot1XkLThd
IronOreRules;08/10/2019 19:58;0;2;⁦ @JoeBiden ⁩ ⁦ @realDonaldTrump ⁩ Up 21 points since July - How do you like those numbers “Mr Deal Maker” ? pic.twitter.com/4dljXw6sng
JoePhillips_MMS;08/10/2019 18:54;0;3;Early morning in Esperance and a cape vessel is being loaded with iron ore . pic.twitter.com/hAQMJvFYnM
MichiganDOT;08/10/2019 16:41;2;13;MDOT Pic of the Day: It's always a great time to explore Michigan's Iron Ore Heritage Trail in the U.P., but it's even better in the fall! pic.twitter.com/05R0a4d8k8
HorizontePLC;08/10/2019 09:20;20;36;#Gold and #nickel look set to soar, Bank of America Merrill Lynch has said. https://www. mining-journal.com/research/news/ 1373112/gold-nickel-up-but-iron-ore-coal-set-to-struggle#.XZx-1xQNEbU.twitter …
Ironore14;08/10/2019 09:11;3;10;Dog doing homework? What are his answers? He vibin tho ngl pic.twitter.com/jjN6Qk6oeP
MWakeel999;08/10/2019 07:05;18;8;#IndianPuppetNawazSharif they needed this to happen so they could ferry iron ore from Afghanistan by road across Pakistan from where it could be shipped to ports in western and southern India,” Dutt writes.
IronOreRules;07/10/2019 19:50;12;32;@realDonaldTrump Nuff said pic.twitter.com/EFvLQifH38
BrendacBenoit;07/10/2019 19:25;3;6;"Iron ore ship runs aground near Cardinal; salvage plan underway https://www. cornwallnewswatch.com/2019/10/07/iro n-ore-ship-runs-aground-near-cardinal-salvage-plan-underway/ … via @cwlnewswatch"
UmaruFofana;07/10/2019 18:15;2;15;This follows the termination of the license of the Chinese-owned iron ore miner, Shandong.
Ironninja1116;07/10/2019 17:40;0;1;Aaaaaand I’ve unlocked hell. pic.twitter.com/R1lfVotiBK
SesaGoaIronOre;07/10/2019 01:26;11;5;pic.twitter.com/rtyEVAu6xk
Ironore14;05/10/2019 20:31;0;4;Teacher: the test isn’t that confusing. The test: pic.twitter.com/CgvXCD4iDf
last_of_england;05/10/2019 15:04;18;110;Just one more. Northants churches are special to me because, being a non-driver, I can only visit them by taking the 0600 train from Ipswich and cycling out from Peterborough, Stamford or Oakham to enter the land of stone. Here's Woodford, in the iron ore belt. #SaturdaySteeples pic.twitter.com/fVymcISfQI
spankedskin;05/10/2019 12:35;0;2;me skipping down my towns streets: *sweet disney songs* my earphones: FUCK YOUR BRAIN, YOU FUCKING WHORE FUCK YOUR CHAIN, YOU SLAVE, I LEFT BLOODSTAINS ON THE DOOR BLADE MADE OF IRON ORE
DmitryOpines;04/10/2019 20:37;5103;17895;Hi, Australian trade guy here. Our country is 14,000km from Europe and overwhelmingly exports iron ore , coal and gold, mostly to Asia. Unless ya'll have a secret desert full of minerals and a plan to tow yourselves to just under South East Asia, our model won't work for you. https:// twitter.com/darrengrimes_/ status/1180165166136221696 …
amitabhk87;01/10/2019 14:51;100;123;When the Law Itself Hinders Business:”It is not just delay but erroneous application of the law that results in undermining business. An example of both delay and judicial error resulting in massive economic harm is the cessation of iron ore mining in Goa” https:// economictimes.indiatimes.com/blogs/et-edito rials/when-the-law-itself-hinders-business/ …
baijendra;01/10/2019 13:30;24;89;NMDC to regain iron ore mine in Donimalai as Govt amends MMRD Act https://www. thehindubusinessline.com/companies/nmdc -to-regain-iron-ore-mine-in-donimalai-as-govt-amends-mmrd-act/article29566072.ece …
psimpsonmorgan;01/10/2019 06:10;19;93;Libs waffle on about how good they are at managing the economy, truth is it’s all a charade based on record low rates, iron ore , population growth & housing. Libs also say they are going to reduce debt (never do) & hypercritically want the young to take debt on. No vision, joke.
Reuters;30/09/2019 02:10;12;16;Rio Tinto scraps plans for Canadian iron ore unit sale, floatation - WSJ https:// reut.rs/2mb121f pic.twitter.com/zROlOPbeBz
TheMiningBot;08/10/2019 20:56;0;0;I just mined 7 iron ore !
Scutty;08/10/2019 19:39;1;11;Chinese iron ore port inventories jumped 3.5% to 129.95 million tonnes last week, leaving them at the highest level since mid-May. (Steelhome) pic.twitter.com/HXizMFDOk3
mariberryu;07/10/2019 23:38;0;10;today i sanded the breastplate and got it painted mostly! i did a base coat of k/ryolan iron ore metallic spraypaint and then lightly went over it in a much lighter silver to give it a more burnished look. tomorrow i’m gonna maybe out more silver on and seal it with lacquer! pic.twitter.com/aGDS99U1tO
UmaruFofana;07/10/2019 18:15;22;90;#SierraLeone has cancelled the mining license of the iron ore miner, SL Mining. Mines minister Foday Rado Yokie told me it’s due to the company’s “noncompliance with their mining agreement”. The company denies the allegations saying it’s shocked & surprised by the decision.
WillieJHudson;07/10/2019 08:31;0;0;Alcos, Iron Ore and More! https:// wjhudson.wordpress.com/2019/10/07/alc os-iron-ore-and-more/ … pic.twitter.com/PSQG1cGkw2
