username;date;retweets;favorites;text
michlstan;23/09/2019 19:31;0;12;Truffles on the plate this morning! How cute is this truffle pig where do the opportunities lie for WA’s truffle industry internationally? And taking a look at the first aboriginal owned iron ore project. Beating Around the Bush from 6:40 @Russell_Woolf @NadiaMits @abcperth pic.twitter.com/1PEPzmH1Hz
Scutty;23/09/2019 18:10;3;8;Bid returns for iron ore spot markets, too. All major grades rose by 1.3%+ on Monday. Benchmark added 1.7% to $94.12. Dalian futures gave back a bit of ground in o/n trade. pic.twitter.com/nVyDZd0Jig
CommSec;23/09/2019 17:57;8;12;US market close: Dow Jones +14.92pts or +0.06% Nasdaq -5.21pts or -0.06% #Gold +1.1% to US$1531.5/oz #Oil +0.9% to US$58.64/bl #ironore +2.2% to US$93.65/t 10y treasury yield 1.7285% (up) SPI -12pts or -0.18% AUDUSD $0.6773 #ausbiz
SalopianLyne;23/09/2019 17:40;5;28;#WagonArchive No,290 : British Railways 27 Ton Iron Ore Tippler Wagon B381590 built at Derby in 1951. Has carried its last load & languishes condemned at Workington Wagon Shops 24/6/75 #Railfreight #Workington #Derby #Cumbria #BritishRailways #trainspotting #Iron #wagons pic.twitter.com/0ctGmCXvOq
DitzMcGeee;23/09/2019 15:27;10;40;Steely Dan was called Smelty Iron Ore Daniel as a young man.
AliceAvizandum;23/09/2019 10:56;1;26;Yeah I’m just gonna carry away 200 wagons of iron ore https:// twitter.com/SmokingInfant/ status/1176132405968678912 …
FlickReynolds;23/09/2019 09:09;18;69;Why was Gina Reinhart at the White House dinner? Our ambassador for iron ore ? #qanda
Trading_Tech;23/09/2019 08:41;4;6;Market view on #TTMobile : #ES_F & #NQ_F are higher. #FESX , #RTS & #TOPIX are lower. #ZB_F and #Bunds are up. #Crude & #natgas are down. #Gold , #silver & #ironore are higher. #Copper & #lead are lower. #Bitcoin is down. #DX_F & #yen are down. #Corn , #wheat & #soybeans are up. pic.twitter.com/4IxUFdFYvy
lubiephil;23/09/2019 08:27;1;7;At the time of the election i worked with a bunch of Trump supporters in the Pilbara. All of them were employed in supplying iron ore to China. Never underestimate the ability of fools to go against their own interest.
Scutty;23/09/2019 08:12;6;9;Dalian iron ore closed near session highs on Monday, lifting 2.4% to ¥647.5. Rebar and HRC futures were bid up even more, jumping 3.6% and 3% respectively. pic.twitter.com/mrTqZXpnRZ
SujeetKOfficial;23/09/2019 08:09;1;12;#Odisha stays ahead of other States in iron ore production in the country. The state has more than 50% of total productions in the country. It's a great news, as #Odisha continues to contribute maximum towards the development of India. pic.twitter.com/9VYQrIbcYa
BMRA_UK;23/09/2019 06:00;15;23;Did you know, every tonne of recycled steel saves: 1.5 tonnes of iron ore 0.5 tonnes of coal 70% of the energy 40% of the water 75% of CO2 emissions 0.97 tonnes of CO2 #recycleweek pic.twitter.com/EuslVDKjHd
HenriMcAlister;23/09/2019 05:57;5;6;I wonder what that means. Exactly. They won't buy our fish, coal, gas, iron ore , wheat, wool etc? They will pull their real estate and agricultural investments? Stop students from coming here? I wonder....
FLongshank;23/09/2019 04:27;8;8;Ask yourself how steel is made? What temperature do you need to smelt iron ore ? Can renewables do it for you? Short Answer: No. pic.twitter.com/LQT5aoIm1n
MinorMinerLSE;23/09/2019 03:11;5;15;The new (renewed) rail line from Pointe-Noire to Mayoko is understood to be available to #Zanaga to facilitate EPP export south via P-N (in addition to north via Gabon). This shines a light on condition (a) of this August's #ZIOC 'Share Option Plan': https://www. lse.co.uk/rns/ZIOC/zanag a-iron-ore-management-incentivisation-scheme-694b9aexp8ee7vr.html … pic.twitter.com/X8gkOR3AnX
lubiephil;23/09/2019 02:18;4;4;Ask him what happens when iron ore revenues inevitably start dropping this year ?
BillJohnstonMLA;23/09/2019 01:54;2;14;It’s great to see there’s a record number of Western Australians working in the State’s mining sector. There was also a record amount for iron ore and gold sales for 2018-19 https:// bit.ly/2m2s0Yw @DMIRS_WA
lubiephil;23/09/2019 01:10;1;8;Will be interesting to see how the government reacts when iron ore receipts start to contract and the Trump led trade war with China really starts to bite. #auspol
AnthonyG729;22/09/2019 21:53;0;5;During a Cavs home Finals game ABC showed an iron ore pile. Everyone thought it was dirt. https:// twitter.com/sportsyelling/ status/1175931280883617792 …
RadioNational;22/09/2019 21:11;1;2;If China stopped taking our iron ore and coal, would the consequences for the Australian economy be dire? Perhaps not, says Professor James Giesecke https:// ab.co/31DJuud #RNCounterpoint pic.twitter.com/dCWtpWQKLI
HC_Haplo;23/09/2019 20:30;0;2;Price support delivers record WA iron ore , gold sales https:// thewest.com.au/business/minin g/price-support-delivers-record-wa-iron-ore-gold-sales-ng-b881332275z?utm_campaign=share-icons&utm_source=twitter&utm_medium=social&tid=1569281417604 …
dakindon;23/09/2019 19:51;1;3;Guess they could start by ending imports of our coal and iron ore
MikeBayham;23/09/2019 19:41;1;5;How dare anyone from Sweden lecture the US. Where was Sweden when the US was saving the world from Hitler? Oh yes, the Swedes were cashing der Fuhrer's checks for their precious iron ore that was used to create components for the Blitz #GretaThunberg #TakeYourSnarlBackToSweden
Hartnett44;23/09/2019 19:25;2;1;Tariffs on Iron Ore imports from Australia to finance climate change policy would be a start pic.twitter.com/UmgxgfmA2z
Trading_Tech;23/09/2019 18:19;1;3;Alert blocks may monitor discrete messages as well as boolean conditions. Take advantage of color parameters to differentiate alerts in the Audit Trail widget. #TTtips #algo #IronOre #DalianCommodityExchange #DCE #metals https:// community.tradingtechnologies.com/questions/5063 /adl-alert-and-bool-change-bug.html … pic.twitter.com/QTN3EKtIUp
Trading_Tech;23/09/2019 17:29;2;4;Market view on TT: #ES_F , #NQ_F , #FESX , #Gilts , #BTP , #CGB , #ZB_F and #VIX all rose. #Bunds fell. #Brent , #crude , #gas , #gold , #silver , #steel , #ironore , #DX_F , #sugar and #coffee rose. #Bitcoin and #ethereum are lower. #XRP is higher. #Cocoa is lower. pic.twitter.com/ozAFZDOZFY
CommSec;23/09/2019 15:52;3;4;Good morning. Spot Iron Ore - China Import (Fines 62% Fe) up 2.2% or $2.05 to US$93.65/t (CFR Tianjin port) #ironore
pardoTRADER;23/09/2019 12:00;2;0;Cotação do Minério de Ferro $ VALE #VALE3 (62% Iron Ore ) Fonte: https:// bit.ly/ferro62 pic.twitter.com/OgL7wgiNfN
jkmartha_2018;23/09/2019 11:08;2;3;Please leave something for the future generations. Stop this reckless & indiscriminate mining. Iron ore is formed in hundreds/thousands of years & we are mining & emptying the whole deposit. pic.twitter.com/sh6xCIzLOW
WallyChemist;23/09/2019 09:22;0;2;Iron ore is not coal
MINE_Magazine;23/09/2019 06:10;1;1;The Swedish town of Kiruna is sinking into the caverns excavated by more than half a century of iron ore mining. We take a look at how you can move a village, to save a mine. #LKAB #Sweden #mining #iron https:// bit.ly/2muc3dY
RichcommDubai;23/09/2019 05:25;1;2;"#Iran to impose a 25% #tariff export tariff on #ironore to support domestic demand; #export shipments to #China have dropped over Aug/Sept in anticipation of these changes"
EdwardStraker3;23/09/2019 05:07;0;4;Coal baron Try Iron ore you Muppets.
goanewshub;23/09/2019 02:17;1;3;Panaji: As many as 124 iron ore mining leases in Goa can go for e-auction post its expire in March 2020. The small State has the highest number of 184 leases expiring on March 31, 2020. Union Ministry of... https:// goanewshub.com/in-goa-124-min ing-leases-can-go-for-e-auction/ …
crushthemarket;23/09/2019 02:13;0;6;There goes a big chunk of the future demand for Aussie commodities - #China ’s railway spending plummets as Beijing struggles to sustain momentum. #ironore #copper https://www. scmp.com/economy/china- economy/article/3027943/chinas-railway-spending-plummets-beijing-struggles-sustain … pic.twitter.com/y835MYjDSp
businessline;23/09/2019 02:01;1;1;The stock of NMDC, the country’s largest iron ore producer, has fallen by about 7 per cent from our last ‘buy’ call in mid-December 2018. https:// trib.al/LNXgXPC @nmdclimited | By @SatyaSontanam
FlipBunny;22/09/2019 23:13;0;3;It’s iron ore https://www. sherwin-williams.com/homeowners/col or/find-and-explore-colors/paint-colors-by-family/SW7069#/7069/?s=coordinatingColors&p=PS0 … Glad y’all like it. It really makes the room a little cozier.
longhorncapital;22/09/2019 22:07;0;8;Iron Ore dump!
DailyFX;22/09/2019 22:00;2;2;$ AUD watchers should keep a close eye on iron ore prices. They fell sharply last month, albeit from very high levels. Get your market update from @DavidCottleFX here: https:// bit.ly/2zPJRW6 pic.twitter.com/da6P4i4qBL
crushthemarket;22/09/2019 21:23;1;3;#Ironore makes a lower high, as bulls have been on the receiving end of a thumping last week, as the bullish trend appears to be over now supply is rising while global demand is slowing. $ FMG $ BHP $ RIO https://www. bloomberg.com/news/articles/ 2019-09-20/iron-ore-bulls-suffer-bad-week-at-the-office-as-prices-turn-tail … pic.twitter.com/4AMghQJbCh
TheKouk;22/09/2019 21:02;0;2;Agree - one would reckon iron ore is set for a tumble, but I have been thinking that for a long time - and wrong
GregNorberg;24/09/2019 20:05;2171;3025;Greta a windmill is made of 260 tons of steel that required 300 tons of iron ore & 170 tons of coking coal, all mined transported & produced by hydrocarbons. A windmill could spin until it falls apart (as this 1 does) &never generates as much energy as was invested in building it pic.twitter.com/6LNAyTXcJd
RBJRON;24/09/2019 19:28;3;5;Yep, backing America could mean less sales of coal and iron ore to China
banas51;24/09/2019 18:43;9;23;So #stuntmo attacks china Gina became rich from sales to china China could ban her iron ore Comment gina
Cyclops_Trader;24/09/2019 18:43;2;13;#iron ore breaking lows after our close yesterday. Closing down another -1.89%. SPI Futs down 72 pts 1.07% (will be more when reopens in my opinion). Looks like the Iron lead $ FMG catch up trade is playing out. #dontbeanchored pic.twitter.com/cOV7Iq11Tn
CommSec;24/09/2019 17:30;10;12;US market close: Dow Jones -142.22pts or -0.5% Nasdaq -118.835pts or 1.5% #Gold +0.6% to US$1540.20/oz #Oil -2.3% to US$57.29/bl #ironore -4.3% to US$89.60/t 10y treasury yield 1.6421% (down) SPI -73pts or -1.08% AUDUSD $0.6799 (up) #ausbiz
Rafaley;24/09/2019 08:52;3;12;So we await the expect project update that can take advantage of this commitments from Congo and the Chinese.. @Zanaga_ Iron_Ore @Glencore @MiningReview @mining #zioc news to be released soon from Zanaga project team- Jumelles and Glencore?? https:// twitter.com/Zanaga_Iron_Or e/status/1176435078911713281 …
Scutty;24/09/2019 08:16;3;5;Dalian iron ore hourly chart looking a tad interesting. Fell 2.4% on Tuesday, more than reversing Monday's gains. Coking coal and coke contracts also tumbled 3.8%+ as steel futures softened. Bad smog is forecast in northern China during Golden Week #blueskies pic.twitter.com/ggIT70BLqe
ZIOC_2018;24/09/2019 08:03;4;22;#zioc #zanaga More and more pieces of the puzzle coming together. Interims should be interesting...GLA #congo #china #ironore #mining #westafrica #glen https:// twitter.com/Zanaga_Iron_Or e/status/1176435078911713281 … pic.twitter.com/Dm5OwMzxr7
ASX1500;24/09/2019 07:31;0;13;Only 3 of 35 cuts didn’t accelerate prices. They always decelerate towards negative afterwards. How many cuts left without crashing the currency? Depends on iron ore prices. https:// twitter.com/justinfabo/sta tus/1171231054968938496 …
Zanaga_Iron_Ore;24/09/2019 06:55;14;47;News out on Congo on Pointe Noire SEZ Project land acquisition process, with plans to unlock new power, port, and rail infrastructure #zioc #zanaga #ironore #china #congo #steel http://www. adiac-congo.com/content/zone-e conomique-speciale-de-pointe-noire-le-paiement-des-expropries-commence-cette-semaine …
Honeputu;24/09/2019 06:53;2;11;#auspol I reckon the Panda won’t just bite Morrison’s arse Annoucing policy whilst in America with an idiot president they may just take out one of his balls What will happen with the Coalitions surplus if China starts buying iron ore & coal for its steel elsewhere ?
gillou_la;24/09/2019 06:31;3;9;Come on, wake up #zioc @Zanaga_ Iron_Ore #glencore #china #steel pic.twitter.com/XvtkMV1nnT
Ahk910;24/09/2019 05:44;3;10;#zioc NEWSFLOW will see this heading towards my Short Term Target of 35/40p Proper company having SPENT wait for it $350 million in the Republic of Congo HIGH grade Iron Ore asset Glencoe = partner Special LAW enforced by government just for THIS Project #multiples pic.twitter.com/Zvr5fV2luq
Zanaga_Iron_Ore;24/09/2019 05:01;18;61;Pointe Noire Special Economic Zone moves ahead with land acquisition process. A big commitment from Congo and China to proceed with the project. The SEZ is a major infrastructure catalyst with port, power and rail links. Great news! #zioc #zanaga #ironore #china #steel #congo
sandramcgeo;24/09/2019 04:55;1;12;The colours of Iron Ore and iron rich sediment are amazing. Australia’s steel industry started with mining here at Iron Knob in the Neoproterozoic sediments of the Middleback Ranges in the late 1800s, #haematite and #magnetite ores are still produced #geology #Whyalla pic.twitter.com/8pGQR7vawT
MinorMinerLSE;24/09/2019 02:54;7;13;#Zanaga 's high grade #ironore (66% rising 68%++ fe content) slashes pollution from sintering and coking coal use. >> Long term and permanent demand shift from Chinese and global #steel mills. #ZIOC (50%-1) JV with #Glencore (50%+1) News 'very soon'. https://www. channelnewsasia.com/news/asia/chin a-heavy-smog-pollution-anniversary-celebration-11936874 … pic.twitter.com/oG7RapjzGj
Tarihc78;24/09/2019 01:01;17;132;I forgot this wild concept art was at the #Disneyland Hotel. Indiana Jones iron ore cart coaster & jeep adventure. Jungle Cruise boat teetering over the edge of a waterfall! DLRR chugging through the massive temple show building! Nina Rae Vaughn. pic.twitter.com/tVgsXe1aTA
claalster;24/09/2019 00:17;2;4;Did you know some NGO's are exporting castanha do Pará (similar to chestnuts) and NGO's are making a lot of money in Brazil? Did you know Brazil is a rich country $ vale is the world's biggest iron ore /pellets exporter? #BrasilComYsani
WGoodings;23/09/2019 23:00;1;7;#NOME?
FDD_CEFP;24/09/2019 20:30;2;1;#China has taken fewer shipments of iron ore from #Iran over August and September, according to Refinitiv Eikon data, as additional export tariffs due to be imposed by Tehran have dampened risk appetites in the world’s biggest steelmaker: https:// reut.rs/2l84U2A
nick_thyme;24/09/2019 20:24;1;13;Without steel China can’t house its restless population. Australia should tell them to find iron ore elsewhere
Shteina_Gott;24/09/2019 19:45;0;2;It was ok to sell iron ore and precision ball bearings to the Nazis, but eating meat is a step too far for them.
CommSec;24/09/2019 19:25;2;2;Aussie market on Wed: - #SPI -72pts or -1.07% - Iron ore -4.3% - Oil -2.2% - BHP & RIO down 2.5-3% in London - Data on job vacancies (Aug) - #RBNZ interest rate decision - ~$5bn in dividend payments - AUD buys US$0.68 #ausbiz
andyjennings;24/09/2019 19:23;1;2;you can take what they did in Macau as a template. I wouldn’t be surprised if they simply (for example) forbid Chinese students to study in Oz and ban import of Oz iron ore . They are very much into statements
