username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
woye1;2019-09-16 19:35;13;25;"Note: Nigeria is d largest producer of SWEET OIL. Nigeria grade of crude oil is described as light bcos of its relatively low density & sweet bcos of its low sulphur content otherwise known as BRENT crude oil . Again, Nigeria oil is Always SWEET. Naija people dey like sweet things";;;;"1173727055135019008";https://twitter.com/woye1/status/1173727055135019008
CNBC;2019-09-16 15:26;18;23;"Oil prices rose after a drone attack on an oilfield in Saudi Arabia forced Saudi Aramco to shut down half its oil production. “ Brent crude oil spikes the most ever after Saudi attacks this weekend” https:// twitter.com/i/moments/1173 627560099532801 …";;;;"1173664439947747329";https://twitter.com/CNBC/status/1173664439947747329
speedlight;2019-09-16 14:42;0;1;"Starker Anstieg im Moment der Ölpreise. Ohh jeee Brent crude oil spikes the most in history after Saudi attacks, last up 14% Beide Sorten Brent und Crude rund 15% oder ca 9 US$ https://www. cnbc.com/quotes/?symbol =@LCO.1 …";;@LCO;;"1173653359657721856";https://twitter.com/speedlight/status/1173653359657721856
OilSheppard;2019-09-16 12:58;22;32;"Busy day? Brent crude oil futures just surpassed their all-time daily volume daily record, a spokeswoman says. Over 1.9m lots have changed hands today, or almost 2 BILLION barrels. #OOTT";;;#OOTT;"1173627218892865537";https://twitter.com/OilSheppard/status/1173627218892865537
payoff_ch;2019-09-16 12:15;0;0;"Gewinner des Tages: MMSABP @BNPPZertifikate Warrant with Knock-Out auf ICE Brent Crude Oil Future ... mit 96% http:// payoff.ch/CH0465032735";;@BNPPZertifikate;;"1173616297634082816";https://twitter.com/payoff_ch/status/1173616297634082816
LizAnnSonders;2019-09-16 10:57;19;49;"Brent crude oil ’s current spike not approaching prior recession-inducing spikes pic.twitter.com/j3pEK7n1P3";;;;"1173596891361230855";https://twitter.com/LizAnnSonders/status/1173596891361230855
T_Mason_H;2019-09-16 10:34;8;14;"Older studies found that 80% of a change in Brent crude oil price is "passed through" to retail gasoline prices within 2-weeks. They also confirm asymmetric price movements = prices "rocket" up and come down like "feathers"";;;;"1173591098809344005";https://twitter.com/T_Mason_H/status/1173591098809344005
T_Mason_H;2019-09-16 10:34;6;11;"EIA analysis has found changes in Brent crude oil prices are more important than WTI crude oil prices as a determinant of U.S. retail gasoline prices. https://www. eia.gov/analysis/studi es/gasoline/pdf/gasolinepricestudy.pdf …";;;;"1173591097970503680";https://twitter.com/T_Mason_H/status/1173591097970503680
ISABELNET_SA;2019-09-16 10:18;13;37;"Top Three Crude Oil Producers The U.S. is the world's biggest oil producer and has surpassed Russia and Saudi Arabia https://www. isabelnet.com/?s=oil h/t @DeutscheBank cc @DiMartinoBooth #oilprice #wti #crudeoil #oilandgas #brent #OPEC #oott #Russia #SaudiArabia pic.twitter.com/Mh74wr29eq";;@DeutscheBank @DiMartinoBooth;#oilprice #wti #crudeoil #oilandgas #brent #OPEC #oott #Russia #SaudiArabia;"1173586931780919296";https://twitter.com/ISABELNET_SA/status/1173586931780919296
GregMannarino;2019-09-16 09:32;11;56;"Brent crude oil spikes the most in history after Saudi attacks, last up 10% https:// cnb.cx/2ZUhxAP";;;;"1173575384085909504";https://twitter.com/GregMannarino/status/1173575384085909504
