username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CommSec;27/10/2019 15:30;0;2;US market close: Dow Jones +152.5pts or +0.6% S&P500 +12.26pts or +0.4% Nasdaq +57.3pts or +0.7% #Gold +60c to US$1505.3/oz #Oil +0.8% to US$56.66/bl #ironore +0.7% to US$87.65/t 10-yr treasury yield 1.7995 SPI +24pts or +0.36% #AUDUSD $0.6823 #ausbiz;;;#Gold #Oil #ironore #AUDUSD #ausbiz;1,18852E+18;https://twitter.com/CommSec/status/1188523336814346240
CommSec;27/10/2019 15:26;1;0;Good morning. Spot Iron Ore - China Import (Fines 62% Fe) up 60c or 0.7% to US$87.65/dry ton (CFR Tianjin port) #ironore;;;#ironore;1,18852E+18;https://twitter.com/CommSec/status/1188522262414020608
ZIOC_2018;27/10/2019 15:21;1;3;#zioc totally agree. So much more there than already stated. Wouldn’t be surprised if the resource easily above 3 billion tonnes. #zanaga #ironore #mining pic.twitter.com/kSwlhQCoh4;;;#zioc #zanaga #ironore #mining;1,18852E+18;https://twitter.com/ZIOC_2018/status/1188521105000226816
xidabaozi;27/10/2019 15:18;0;0;MeCconnerll is a SWAMP. He dealed with CCP via his wife for the dirty IRON ORE hundred million tons annually shipped her father did to give the service of the Chinarzi.;;;;1,18852E+18;https://twitter.com/xidabaozi/status/1188520357780688899
Victori88509192;27/10/2019 15:09;3;7;The futures largest infrastructure project of #ironore in Africa! - Simandou - I don’t think so!! #ZANAGA the worlds 5th largest high grade iron ore mine (could be 2nd largest) in the world No wonder #China are wanting this deal - Lifetime supply! 1/10th Capex required! #ZIOC https:// twitter.com/keitus14/statu s/1185885405939404803 … pic.twitter.com/bsPFKOxq2L;;;#ironore #ZANAGA #China #ZIOC;1,18852E+18;https://twitter.com/Victori88509192/status/1188518160556802050
EcoInternetDrGB;27/10/2019 14:38;1;1;China doesn't care about pollution, says iron ore miner: Financial Review https://www. afr.com/companies/mini ng/china-doesn-t-care-about-pollution-says-iron-ore-miner-20191025-p53468 … MORE w/ EcoSearch - news: https:// search.ecointernet.org/search/results ?q=pollution%20china%20doesnt%20care%20say%20iron%20ore%20miner&w=relevance … web: https:// search.ecointernet.org/search/results ?q=pollution%20china%20doesnt%20care%20say%20iron%20ore%20miner&s=web …;;;;1,18851E+18;https://twitter.com/EcoInternetDrGB/status/1188510181388238848
KamalJoshi108;27/10/2019 14:34;0;0;#Breakingnews #News #India “There is another reason why the Congress was able to consolidate its ground in Bastar”, Mishra told The Wire, adding that “it is the returning of the land to the tribals that had been acquired for iron ore mining.” https:// ift.tt/2MRaSjC;;;#Breakingnews #News #India;1,18851E+18;https://twitter.com/KamalJoshi108/status/1188509218778812423
thewire_in;27/10/2019 14:30;27;88;“There is another reason why the Congress was able to consolidate its ground in Bastar”, Mishra told The Wire, adding that “it is the returning of the land to the tribals that had been acquired for iron ore mining.” https:// thewire.in/politics/chhat tisgarh-how-bastar-became-bjp-mukt …;;;;1,18851E+18;https://twitter.com/thewire_in/status/1188508155161927680
sshyamss;27/10/2019 13:55;0;0;And you were sleeping when BJP looted KA for tune of 25k cr in the iron ore scam. Did not that money feed 2014 BJP campaign. Were you opposing when BJP begged Reddys back for elections. Oh I forgot that your love for BJP is Dhiridrashtra love for Duryodhana.;;;;1,1885E+18;https://twitter.com/sshyamss/status/1188499535770853378
ORONSofGOD;27/10/2019 13:45;0;1;His point is that you goofed but of course, your arrogant &ignorant mind doesn't want to own up to your blatant lies &wrong analyses. Simply admit that steel can be manufactured with imported iron ore as seen in the Japan example instead of this 'ogboju pass power' approach;;;;1,1885E+18;https://twitter.com/ORONSofGOD/status/1188496963131641866
FinPlanKaluAja1;27/10/2019 13:30;0;0;Iron Ore for one;;;;1,18849E+18;https://twitter.com/FinPlanKaluAja1/status/1188493244549566471
bluejug2001;27/10/2019 13:04;3;10;#Zioc #China can see the full $1Trillion investment income from the worlds 5th largest #IronOre mine. all set for JV/BuyOut for a measly sum of $1Bn https://www. bloomberg.com/news/articles/ 2019-10-25/miner-outpacing-tech-giants-burrito-icon-says-gains-can-last?utm_source=url_link …;;;#Zioc #China #IronOre;1,18849E+18;https://twitter.com/bluejug2001/status/1188486710688210945
iron_northwest;27/10/2019 13:03;0;1;Its low grade magnetite with very high capex to beneficiate to high grade ore - trillions of tonnes in the Pilbara -- but if Zanaga can get that away with no infrastructure a long way from a port we can all celebrate what would clearly be a goldilocks demand for iron ore https:// twitter.com/bluejug2001/st atus/1188463590405222400 …;;;;1,18849E+18;https://twitter.com/iron_northwest/status/1188486488511528961
karun_f7;27/10/2019 12:49;1;3;#China ’s old-school appetite for #ironore has catapulted #Fortescue Metals Group Ltd. ahead of some of the hottest tech sector giants and a fast-food #behemoth as one of this year’s best performing global stocks. https://www. bloomberg.com/news/articles/ 2019-10-25/miner-outpacing-tech-giants-burrito-icon-says-gains-can-last … @krystalchia;;@krystalchia;#China #ironore #Fortescue #behemoth;1,18848E+18;https://twitter.com/karun_f7/status/1188482982648135681
postmansam3;27/10/2019 12:09;0;0;Too many bloody tariffs China has saved Australia from recession more than once. Aus did not go into recession during gfc ... thank u china who kept buying our coal, iron ore etc.;;;;1,18847E+18;https://twitter.com/postmansam3/status/1188472895946706946
MrOare_k;27/10/2019 12:04;0;0;It's shocking really. South Korea has steel rolling mills but imports iron ore . You don't have to own all raw materials before you produce.;;;;1,18847E+18;https://twitter.com/MrOare_k/status/1188471461415194626
TinTincognito;27/10/2019 11:43;0;0;On Sunday Scrum John said it would be impossible to unseat Andrew Scheer. When it happened to Joe Clark, Mulroney had the help of the American owned Labrador Iron Ore and Steel busing in delegates. So don't overlook the possibility of foreign interference. @vmochama;;@vmochama;;1,18847E+18;https://twitter.com/TinTincognito/status/1188466290694000640
Wuneme;27/10/2019 11:37;0;0;@MrHoney87826436 you are a son of the soil please come o. This man claims the Iron ore in Ajaokuta is NOT of high quality & insufficient to support Ajaokuta steel complex. Is it true..?;;@MrHoney87826436;;1,18846E+18;https://twitter.com/Wuneme/status/1188464624452157440
bluejug2001;27/10/2019 11:32;8;14;#Zioc #China Huge demand for #IronOre 6.9Bnt untapped reserve 68Fe% @Zanaga_ Iron_Ore https://www. scmp.com/economy/china- economy/article/3033564/china-doubles-value-infrastructure-project-approvals-stave …;;@Zanaga_;#Zioc #China #IronOre;1,18846E+18;https://twitter.com/bluejug2001/status/1188463590405222400
simpleotc;27/10/2019 11:18;1;1;$ LBRMF #IronOre #Canada #StockAlert #LabradorIronOre #TATA pic.twitter.com/3GcCY7R1Ao;;;#IronOre #Canada #StockAlert #LabradorIronOre #TATA;1,18846E+18;https://twitter.com/simpleotc/status/1188460042665807874
MercuryResourc;27/10/2019 11:11;0;0;Steel slowdown to further hurt iron ore demand: LKAB #ironore #steel https:// buff.ly/2JobMSi;;;#ironore #steel;1,18846E+18;https://twitter.com/MercuryResourc/status/1188458079760855040
Victori88509192;27/10/2019 11:08;5;15;Truth is here the next ##ZIOC RNS is likely to be a suspension one JV or buyout deal has to be happening in the background now as recent big buys suggest #ZANAGA is like a ticking bomb ready to explode #China #Ironore #Simandou #Nfx #Eua #Prem #Vast https:// twitter.com/zioc_2018/stat us/1188438825674203136 …;;;# #ZIOC #ZANAGA #China #Ironore #Simandou #Nfx #Eua #Prem #Vast;1,18846E+18;https://twitter.com/Victori88509192/status/1188457553753268224
kunlenzo;27/10/2019 10:54;2;2;This leaves only NIOMCO for d beneficiation of our iron ore to complete d tripartite issues he raised himself. B like him get buyer for our Ajaokuta for;;;;1,18845E+18;https://twitter.com/kunlenzo/status/1188453849679441921
debasisgeo;27/10/2019 10:33;0;0;Iron ore transport through trucks must be regulate. transport via pipeline,belt conveyor,train preferred.;;;;1,18845E+18;https://twitter.com/debasisgeo/status/1188448527598227457
iron_northwest;27/10/2019 10:08;3;6;https://www. scmp.com/economy/china- economy/article/3033564/china-doubles-value-infrastructure-project-approvals-stave … Iron Ore demand unstoppable -;;;;1,18844E+18;https://twitter.com/iron_northwest/status/1188442449913372672
umarusule;27/10/2019 09:56;0;0;Please what is the purpose of Itakpe Iron Ore Company? Was it not set up to feed Ajaokuta Steel Company?;;;;1,18844E+18;https://twitter.com/umarusule/status/1188439334250303488
ZIOC_2018;27/10/2019 09:54;7;14;Good luck to all shareholders this week. Some big buys coming in now. Is there something leaking we don’t know about. #zanaga #zioc Let’s see what next week brings. I’ll be topping up for sure. #china #mining #ironore #congo #glen pic.twitter.com/a7Q2gDDbdr;;;#zanaga #zioc #china #mining #ironore #congo #glen;1,18844E+18;https://twitter.com/ZIOC_2018/status/1188438825674203136
sarnchos;27/10/2019 09:50;0;0;National iron ore mining company itakpe;;;;1,18844E+18;https://twitter.com/sarnchos/status/1188437880198369281
TitanCrab117;27/10/2019 09:43;0;0;I've had that happen so much. I love when I'm too cocky and go into a cave and find over 6 stacks of Iron Ore then die from a creeper or lava.;;;;1,18844E+18;https://twitter.com/TitanCrab117/status/1188435961950031873
Ironore14;27/10/2019 09:37;0;1;Yeah... i agree but he is still America's worst president;;;;1,18843E+18;https://twitter.com/Ironore14/status/1188434469641953281
theprince4_2;27/10/2019 09:24;0;0;- Earth will Rest from Over Productions - No More Mining Of Unnecessary Resources, I.e Iron Ore , Gold, Silver and All the Other Stored Minerals - Sea Life will be Allowed to Replenish - GMO Products Will Be Destroyed & Replaced by Organic Products WE’LL REVERSE THE CURRENT MESS.;;;;1,18843E+18;https://twitter.com/theprince4_2/status/1188431162840104960
ironore13;27/10/2019 09:10;0;0;البته بعد از خایه مالی دیروز;;;;1,18843E+18;https://twitter.com/ironore13/status/1188427762014543873
TTPets02;27/10/2019 09:05;0;0;Putting in bluntly we have a natural advantage with minerals and energy the only reason we don’t manufacture good and export is gov policy and local manufacturing paying global pricing for energy, gas, coal, iron ore , just to name a few;;;;1,18843E+18;https://twitter.com/TTPets02/status/1188426602952065025
TheMiningBot;27/10/2019 08:58;0;0;I just mined 10 iron ore !;;;;1,18842E+18;https://twitter.com/TheMiningBot/status/1188424620355002368
MacroTechnicals;27/10/2019 08:39;0;1;20/n ... VALE was also again on the headlines... although I thought the already won that reopen case ... Iron ore squeeze and the followed plunge was a classic example of supply/demand issues, not too much to do with China's slowing growth rate. pic.twitter.com/Ml994cDPIt;;;;1,18842E+18;https://twitter.com/MacroTechnicals/status/1188419954791665665
ironore13;27/10/2019 08:37;0;0;از اصلاح طلبی به خایه مالی تغییر رویه دادی;;;;1,18842E+18;https://twitter.com/ironore13/status/1188419339973775361
georgekaizer;27/10/2019 08:08;1;2;Asking if NIOMCO is functional today, is same as asking if our refineries are functional today. What has that got to do with whether or not crude oil, or iron ore is available in Nigeria? Guy is clearly over-rated.;;;;1,18841E+18;https://twitter.com/georgekaizer/status/1188412077209276416
Kempez2017;27/10/2019 07:34;0;1;Plateau and Nasarawa. Hence, The National Iron Ore Mining Company Itakpe was producing Iron Ore Concentrates required for the steel mill... Just wait and see when Ajaokuta is completed.;;;;1,1884E+18;https://twitter.com/Kempez2017/status/1188403715889336320
Kempez2017;27/10/2019 07:31;0;2;Nigeria is among the African countries with vast iron ore deposits which can be found in some states in the country, Itakpe in Kogi State is believed to have the purest deposits of iron ore and other states where it is deposited includes: Abia, Anambra, Bauchi, Benue, Kwara... https:// twitter.com/FinPlanKaluAja 1/status/1187450079914758144 …;;;;1,1884E+18;https://twitter.com/Kempez2017/status/1188402749408497664
ateiyev;27/10/2019 07:31;0;0;This is like an egg & chicken situation, doesn't matter which comes first. Let Ajaokuta come up, we can import iron ore while we ALSO work on using our iron ore long term. The value of getting the plant back online outweighs all your negative POV.;;;;1,1884E+18;https://twitter.com/ateiyev/status/1188402714633478145
