username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ugodre;2019-08-15 01:02;3;12;"Here is what you need to know about Bonny Light & Brent Crude Oil https:// nairametrics.com/2019/08/15/her e-is-what-you-need-to-know-about-bonny-light-brent-crude-oil/ … pic.twitter.com/ewwe0TW4N8";;;;"1161850563572772864";https://twitter.com/ugodre/status/1161850563572772864
xxxsathiya;2019-08-14 22:17;0;0;"#RT @stlouisfed : Weekly spot prices for Brent and WTI crude oil fall to $57.33 and $53.28 per barrel, respectively http:// ow.ly/VkGt50vxPXA pic.twitter.com/Tq6EjH60O3";;@stlouisfed;#RT;"1161809001761431558";https://twitter.com/xxxsathiya/status/1161809001761431558
tiago_markt;2019-08-14 19:46;1;2;"Handmade Oil Painting Raining in Paris by Brent Lynch decorative art High quality https:// my-artwork.com/product/handma de-oil-painting-raining-in-paris-by-brent-lynch-decorative-art-high-quality/ … pic.twitter.com/b38J1wN9V0";;;;"1161770996312899584";https://twitter.com/tiago_markt/status/1161770996312899584
PlattsOil;2019-08-14 17:38;9;13;"Oil retreats as #recession fears stoke demand concerns | #crudeoil #Brent #NYMEX #WTI | http:// plts.co/pWfs50vxNfj pic.twitter.com/I3ySI9muwe";;;#recession #crudeoil #Brent #NYMEX #WTI;"1161738891122171905";https://twitter.com/PlattsOil/status/1161738891122171905
_Lester_Davids;2019-08-14 14:02;1;3;"Brent Crude Oil : Yesterday, up 4.39% Today, down 4.10% #WildTimes";;;#WildTimes;"1161684594669817856";https://twitter.com/_Lester_Davids/status/1161684594669817856
hcanercan;2019-08-14 11:27;0;2;"Global demand fell 160 kb/d y-o-y in May, second annual fall in 2019. Brent slid below $57/bbl in August to the lowest level in 7 months. Oil prices are swept up in stock market and commodity losses due to trade dispute concerns, health of the global economy and weak oil demand. pic.twitter.com/0zKMGXZIts";;;;"1161645521615904768";https://twitter.com/hcanercan/status/1161645521615904768
Spears07;2019-08-14 10:07;2;9;"union jack oil #ujo #oil #gas #oilprice #oilandgas #CrudeOil #Brent #westnewton #perforating";;;#ujo #oil #gas #oilprice #oilandgas #CrudeOil #Brent #westnewton #perforating;"1161625269213519873";https://twitter.com/Spears07/status/1161625269213519873
trading_multi;2019-08-14 09:57;0;0;"#Brent Oil Long at the 38.2% Fib-Retracement + 1h MA50 RSI of 15min oversold + RSI of 1h < 50 Risk/Reward = 1:3 TP = 6130 Stop = 5860 pic.twitter.com/nLO7oB0ssL";;;#Brent;"1161622887398334465";https://twitter.com/trading_multi/status/1161622887398334465
AzizSapphire;2019-08-14 09:09;1;2;"Brent crude Oil prices go sub $60.00 pic.twitter.com/XwgQxY94cP";;;;"1161610705893756928";https://twitter.com/AzizSapphire/status/1161610705893756928
kwok_w_wan;2019-08-14 05:07;5;49;"I see #Brent #crude #oil prices doing the "Jumping Nessie" formation today #OOTT pic.twitter.com/jVteOMjQTB";;;#Brent #crude #oil #OOTT;"1161549959789010945";https://twitter.com/kwok_w_wan/status/1161549959789010945
wrbailey8;2019-08-13 16:13;0;9;"EnerCom Tue keynote by $ CLR CEO, Harold Hamm. Moderated by industry veteran Tom Petrie: Sees rigs bottoming around 800 and Brent /WTI narrowing. US oil quality is best in world. ~210 people in the main room. #OOTT pic.twitter.com/lkVVxBkoyV";;;#OOTT;"1161355157310849025";https://twitter.com/wrbailey8/status/1161355157310849025
AzizSapphire;2019-08-13 10:56;1;2;"Brent crude oil jumps to $60.30 pic.twitter.com/fg2HQ1FzuW";;;;"1161275215000887299";https://twitter.com/AzizSapphire/status/1161275215000887299
NRT_English;2019-08-13 06:23;1;2;"Crude oil prices (August 13) http://www. nrttv.com/En/News.aspx?i d=14447&MapID=5 … #NRTnews #Brent #WTI pic.twitter.com/0yqXjLfRib";;;#NRTnews #Brent #WTI;"1161206513479966720";https://twitter.com/NRT_English/status/1161206513479966720
