username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
josch2012;2018-12-30 12:29;0;0;"Brent Crude Oil Chartanalyse KW52/18-01/19 - Kurs knapp unter 53$ - Anstieg über 55$ oder abwärts unter 50$ ?? https:// rohstoff.boersentagebuch.eu/?p=1628";;;;"1079399106349596672";https://twitter.com/josch2012/status/1079399106349596672
ADFCFUTUREFOREX;2018-12-28 15:21;0;0;"ADFC ANALYSIS =========== #crude #oil #brent #opec #commodity #commodities #energy #futures #trading #analysis #gann #WarrenBuffet #cl #nymex #cfd #Elliottwave #wti #chart #fund #money #manager #commercial #dealer #ice #crudeoil pic.twitter.com/bpDqDe4jub";;;#crude #oil #brent #opec #commodity #commodities #energy #futures #trading #analysis #gann #WarrenBuffet #cl #nymex #cfd #Elliottwave #wti #chart #fund #money #manager #commercial #dealer #ice #crudeoil;"1078717651042619394";https://twitter.com/ADFCFUTUREFOREX/status/1078717651042619394
anasalhajji;2018-12-28 13:36;81;222;"More #oil #Shale #Crude_Quality_Matters #Oil _History #WTI #Brent #Permian pic.twitter.com/x9tZUCG92v";;;#oil #Shale #Crude_Quality_Matters #Oil #WTI #Brent #Permian;"1078691180316147713";https://twitter.com/anasalhajji/status/1078691180316147713
AgentP22;2018-12-27 17:18;54;110;"Brent Crude heading below $50 a barrel. Just imagine how screwed Scotland would be if we had been fooled by Salmond's White Paper oil predictions ($113) and voted to leave the UK. pic.twitter.com/NKSxASr4LJ";;;;"1078384527062560769";https://twitter.com/AgentP22/status/1078384527062560769
UticaRisk;2018-12-27 14:49;21;33;"With Brent at $52 Iraqi oil is selling sub-$50. Unless this reverses, 2019 is shaping up to be a very painful year for Iraq economically, and this government is not in a good position to handle a rough ride. https:// twitter.com/yesar/status/1 078043688306180096 …";;;;"1078347240064892930";https://twitter.com/UticaRisk/status/1078347240064892930
InvestorSMS;2018-12-27 05:31;0;0;"Brent Crude Oil : Könnte hier ein Boden entstehen? | InvestorSMS http:// ow.ly/U6KZ50k2ef5";;;;"1078206604754014209";https://twitter.com/InvestorSMS/status/1078206604754014209
JavierBlas;2018-12-26 18:56;32;53;"WTI crude #oil zooms 10% to $47 a barrel in post Christmas trading (reversing the previous three days of losses). Brent up 9% to $55 a barrel | #OOTT #OPEC @TheTerminal pic.twitter.com/lDh16r1HYc";;@TheTerminal;#oil #OOTT #OPEC;"1078046868070907906";https://twitter.com/JavierBlas/status/1078046868070907906
TVMohandasPai;2018-12-26 08:59;37;98;"HPCL,BPCL,IOC,Jet,SpiceJet gain 1-3%, Brent oil near $50/barrel India should buy forward next 12 months such low rates toprotect against future pricerise ⁦ @dpradhanbjp ⁩ ⁦ @arunjaitley ⁩ ⁦ @PMOIndia ⁩ ⁦ @narendramodi ⁩ ⁦ @surjitbhalla ⁩ https://www. moneycontrol.com/news/business/ markets/hpcl-bpcl-ioc-jet-airways-spicejet-gain-1-3-as-brent-oil-prices-near-50barrel-3324941.html …";;@dpradhanbjp @arunjaitley @PMOIndia @narendramodi @surjitbhalla;;"1077896646208507904";https://twitter.com/TVMohandasPai/status/1077896646208507904
MinhazMerchant;2018-12-26 06:39;693;1868;"Petrol price in Mumbai has fallen from Rs 91 to Rs 75 (18%) while Brent oil price is down from $86 to $56 (36%) in the same period. When oil prices go up, the correlation is linear. When oil prices go down, it isn’t #fuelprice";;;#fuelprice;"1077861522628579333";https://twitter.com/MinhazMerchant/status/1077861522628579333
Schuldensuehner;2018-12-26 05:23;36;41;"Asia stocks retreat as US pol tumult adds to growth worry. Investors unnerved by US Govt partial shutdown & Trump's hostile stance towards Fed. US Futures wobbly after Mon's Wall St slide. 10y US ylds drop to 2.72%. Gold brushes 6mth peak. Brent Oil at $50/bbl. Bitcoin drops <$4k pic.twitter.com/kjiLRni5Hk";;;;"1077842297222504448";https://twitter.com/Schuldensuehner/status/1077842297222504448
