username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
G_XCON;2018-12-29 07:27;70;137;"South Africa is full of gold,silver, coal,chrome,coal,platinum,uranium, diamonds, iron ore , we have lots of fertile land,we have lots of natural stones like marble,granite & slate,how can we still be told that we are not a wealthy country , can this lie remain in 2018, SA is rich";;;;"1078960625773105152";https://twitter.com/G_XCON/status/1078960625773105152
prakasharige;2018-12-27 07:39;288;395;"1 Week Back Govt of India లెటర్ రాసింది AP Govt కు - కడపలో దొరికే Iron ore నిల్వలమీద మాకు Survey Report submit చెయ్యండి మేము కేంద్ర నిధులతో AP లో Steel Plant స్థాపనకు మా పూర్తి సహకారము అందిస్తాము అని. కానీ ఆ సమాచారం కేంద్రముకు ఇవ్వకుండా ఇప్పుడు హడావిడిగా మేమే కడతాం అని శంకుస్థాపన pic.twitter.com/A8gsbkTPOJ";;;;"1078238854199402496";https://twitter.com/prakasharige/status/1078238854199402496
DebitorLPupdate;2018-12-25 13:03;0;1;"1 Iron Ore = 3 Iron Ingots | Industrial Foregoing | Minecraft Mod: http:// youtu.be/-NUTNSWtX_0?a über @YouTube";;@YouTube;;"1077595819556126721";https://twitter.com/DebitorLPupdate/status/1077595819556126721
PDChina;2018-12-25 02:29;24;82;"China will adjust import and export duties starting 2019, Ministry of Finance said Monday. Over 700 items of imported products will be subjected to temporary import tariff rates while export tariffs on products including fertilizers and iron ore will be scrapped pic.twitter.com/0NP5W90W8U";;;;"1077436022676381696";https://twitter.com/PDChina/status/1077436022676381696
ZIOC_2018;2018-12-24 13:05;22;36;"To ALL #ZIOC shareholders. May you have a very merry XMAS and and HAPPY NEW YEAR. News is coming. Only 3 working days left till year end. And then we have 2019 to look forward to. Ho Ho Ho oh and to @Zanaga_ Iron_Ore also. Good tidings most welcome. #glencore #ironore";;@Zanaga_;#ZIOC #glencore #ironore;"1077233751770480640";https://twitter.com/ZIOC_2018/status/1077233751770480640
LiveSquawk;2018-12-23 23:53;24;19;"China Finance Ministry Says Will Adjust Import And Export Tariffs On Some Products From Jan 1, 2019 China Finance Ministry Says Will Not Levy Export Tariffs On 94 Items, Including Fertiliser, Iron Ore";;;;"1077034604295540736";https://twitter.com/LiveSquawk/status/1077034604295540736
YaseerAraphart;2018-12-23 08:46;465;215;"Hello Twtter Fam,my name is Yasir Arfat i do Mining Exploitation”extraction of minerals nd metals“raw materials lyk Iron ore ,un extractd gold,manganese,Cu.We currently hv lyk300tons of iron ore nd 300tons of mangnse.We nid buyers preferably frm Any country.God bless u as u RT pic.twitter.com/OTI9A9PoFN";;;;"1076806261033844736";https://twitter.com/YaseerAraphart/status/1076806261033844736
MinorMinerLSE;2018-12-23 06:24;13;29;"'...(CapEx) on expansion options delivering fast payback'. #Glencore 's Glasenberg, Dec 2018. #ZIOC , their JV partners on the giant and high grade #Zanaga iron ore mine, are set to announce details of the Early Production Plan (EPP) before 2018 is out. @Zanaga_ Iron_Ore https:// twitter.com/MinorMinerLSE/ status/1076769247907450880 …";;@Zanaga_;#Glencore #ZIOC #Zanaga;"1076770428910256128";https://twitter.com/MinorMinerLSE/status/1076770428910256128
MinorMinerLSE;2018-12-23 06:19;14;30;"#Glencore and #ZIOC in JV on the giant #Zanaga #ironore mine (5th largest and high grade). News due with days on Early Production Plan @Zanaga_ Iron_Ore stahttps://www.miningmx.com/news/markets/35331-glencore-presses-button-on-increased-project-capex-as-metal-inventories-dwindle/ pic.twitter.com/oBlXEe0Sn0";;@Zanaga_;#Glencore #ZIOC #Zanaga #ironore;"1076769247907450880";https://twitter.com/MinorMinerLSE/status/1076769247907450880
eNCA;2018-12-23 02:32;18;35;"Construction workers have broken ground at the site of Nigeria's first gold refinery in the south-western state of Ogun. Nigeria has largely untapped deposits of 44 minerals, including gold, iron ore , coal, tin and zinc. #MorningNewsToday Courtesy #DStv403 pic.twitter.com/ZM1It7BWqA";;;#MorningNewsToday #DStv403;"1076712161114767365";https://twitter.com/eNCA/status/1076712161114767365
alisonmahedy;2018-12-21 22:30;11;68;""We will delver a surplus in the first year and every year after that" Joe Hockey. Tell the truth, the surplus will occur off the back of a rise in the price of iron ore , not a damn thing you and your gov't have done.";;;;"1076288917823938560";https://twitter.com/alisonmahedy/status/1076288917823938560
AupolNews;2018-12-21 04:10;18;12;"Coal to overtake iron ore as most valuable export http:// bit.ly/2Cqkexc";;;;"1076011892546646016";https://twitter.com/AupolNews/status/1076011892546646016
BNW_Ben;2018-12-20 16:40;28;35;"Australia’s highest-value mineral export for this year was coal. It overtook iron ore for the first time in a long time - through a period of massive renewables growth. We need all clean energy options to turn that massive carbon ship around #nuclear #Repeal140A";;;#nuclear #Repeal140A;"1075838306422648832";https://twitter.com/BNW_Ben/status/1075838306422648832
KWAKU101;2018-12-19 17:24;73;514;"One cannot mentor iron ore into gold; you were always gold! https:// twitter.com/OtiAdjei/statu s/1075472012380921856 …";;;;"1075486938654785541";https://twitter.com/KWAKU101/status/1075486938654785541
KhayaJames;2018-12-18 17:33;33;30;"#DRC have 80% of the world’s coltan, World's 2nd-largest river, the Congo, It sits on $24 trillion worth of natural resources, 3,2 trillion cubic feet of natural gas...theres iron ore , gold, platinum and uranium. Africa's Great War claimed over 5 million ppl. #ComplexAffair";;;#DRC #ComplexAffair;"1075126944340029440";https://twitter.com/KhayaJames/status/1075126944340029440
TheKouk;2018-12-16 19:58;204;206;"FYI: There will be no budget surplus in 2019-20 if iron ore price is $5 a tonne lower than forecast, wages 0.25% lower, nominal GDP growth 0.25% lower and employment growth 0.25% lower: Tiny forecast errors have a big impact on the budget in a $2 trillion economy #MYEFO";;;#MYEFO;"1074438698689646592";https://twitter.com/TheKouk/status/1074438698689646592
TheKouk;2018-12-16 19:52;55;39;"Table 3.7 of MYEFO documents is telling: From May Budget to now, impact on budget bottom line of: Policy decisions - reduced budget surpluses by $16.3 billion Parameter changes - (such as forecast errors for iron ore & coal price) added a staggering $30.4 bilious to the surpluses";;;;"1074437103696539649";https://twitter.com/TheKouk/status/1074437103696539649
JSPLCorporate;2018-12-13 01:05;110;150;"#DidYouKnow TRB Iron Ore Mines of JSPL is the only mines in India, irrespective of any mining sectors, to receive the coveted TPM Excellence Award by the Japan Institute of Plant Maintenance, Tokyo. #TRB #Mines #TPM #JIPM #OnlyOne #BuildingIndia pic.twitter.com/u4YkyVDhmu";;;#DidYouKnow #TRB #Mines #TPM #JIPM #OnlyOne #BuildingIndia;"1073066475043385344";https://twitter.com/JSPLCorporate/status/1073066475043385344
STUinSD;2018-12-11 13:02;10;43;"8. “Mining in Tanzania includes metals (gold, iron ore , nickel, copper, cobalt, silver), industrial minerals (diamond, tanzanite, ruby, garnet, limestone, soda ash, gypsum, salt, phosphate, gravel, sand, ….”";;;;"1072522103482662917";https://twitter.com/STUinSD/status/1072522103482662917
abubakarumer;2018-12-09 08:22;19;34;"Nandipur: established corruption case against baber awan as per SC verdict. Chiniot Iron ore : Established corruption case against Pervaiz Elahi as per LHC verdict. Why are they free ? pic.twitter.com/YHjP6bBxNp";;;;"1071726651267055616";https://twitter.com/abubakarumer/status/1071726651267055616
ibrahim_dalibi;2018-12-30 17:27;12;19;"Wen i Say GEJ is the Muz Clueless President in the history of earth” i mean it... 95% of Arms used by Terrorists in Nigeria wia smuggled During GEJ #Fact Argue with CG Custom; Iron Ore Hammid Ali @Ayourb @iameneji";;@Ayourb @iameneji;#Fact;"1079473995467104258";https://twitter.com/ibrahim_dalibi/status/1079473995467104258
Silodrome;2018-12-30 13:09;5;13;"Watch cars get build from raw iron ore to completed and rolling off the production line. Link: https:// silodrome.com/documentary-fo rd-river-rouge-plant/ … pic.twitter.com/VE6uuQ3wlf";;;;"1079409141511155712";https://twitter.com/Silodrome/status/1079409141511155712
RVAnalysis;2018-12-29 03:24;6;28;"Commodities Average 30D One Month ATM Implied Volatility has moved +2 standard Deviation but as yet EM currencies have not kept pace. One of them appear out of place Commodity Futures included WTI $ Cl _ Brent $ CO _ Gold $ GC _ Silver $ SI _ Copper $ HG _ & Iron Ore $ SCO _ #JointheDots pic.twitter.com/dvds6GrpDH";;;#JointheDots;"1078899648771682304";https://twitter.com/RVAnalysis/status/1078899648771682304
MinorMinerLSE;2018-12-28 10:44;12;21;"Some have yet to grasp the significance to #ZIOC that Peter Freyberg will head up #Glencore 's Industrial Mining as of Jan 2019. It was PF who bought #Zanaga , as head of Xstrata Coal, with the aim to form a 'meaningful #ironore business'. @Zanaga_ Iron_Ore https://www. proactiveinvestors.co.uk/LON:ZIOC/Zanag a-Iron-Ore-Company/rns/LSE20110208070015_010782524 … pic.twitter.com/KwCWQCi38d";;@Zanaga_;#ZIOC #Glencore #Zanaga #ironore;"1078647789842825216";https://twitter.com/MinorMinerLSE/status/1078647789842825216
gandha3195;2018-12-27 00:57;116;27;"The closure of iron ore #mining in #Goa since the last eight months has adversely impacted the state's economy. The resumption of the industry is necessary to save the state from facing an economic slowdown. #GoaMining #ThursdayThoughts @narendramodi @nitin_gadkari @NITIAayog";;@narendramodi @nitin_gadkari @NITIAayog;#mining #Goa #GoaMining #ThursdayThoughts;"1078137806109601799";https://twitter.com/gandha3195/status/1078137806109601799
kriksto1953;2018-12-26 20:11;18;24;"In Norway, companies drilling for North Sea oil pay a 78% tax rate on income, compared with a corporate tax rate of 28%. By contrast, the much-derided Minerals Resource Rent Tax placed a 22.5% “super profits” tax on coal and iron ore producers. #auspol";;;#auspol;"1078065783601655808";https://twitter.com/kriksto1953/status/1078065783601655808
johntilak;2018-12-24 13:27;11;17;"Rio Tinto is preparing for the IPO of its Canadian iron ore unit in early 2019, sources tell us. The mining giant plans to dual-list the $4B business in New York and Toronto. | @Reuters https:// reut.rs/2PVGeDT | with @ReutersJF @reutersBarbaraL @claradenina pic.twitter.com/kuTStSe7Yb";;@Reuters @ReutersJF @reutersBarbaraL @claradenina;;"1077239322070401027";https://twitter.com/johntilak/status/1077239322070401027
jnasev;2018-12-24 04:48;5;13;"Christmas hike in the Kall Valley (1/2): lots of charcoal platforms and traces of iron ore and shale mining. Beta-testing some new @HikeAndSeekApp #LiDAR routes. pic.twitter.com/nesDQIFVpo";;@HikeAndSeekApp;#LiDAR;"1077108841689632773";https://twitter.com/jnasev/status/1077108841689632773
LithiumWorld;2018-12-22 21:45;11;41;"HIGH quality #lithium hard rock mines are still hot imo #CHINA NOV #EV #battery production 8.4GWh UP 48% YOY with 183,000 EV's #CHINA YTD EV's 1.014 MILLION #CHINA NOV EV Passenger cars UP 260% YOY This is NOT an iron ore replay imo and future demand is being underestimated. pic.twitter.com/K4gwHQJ1iT";;;#lithium #CHINA #EV #battery #CHINA #CHINA;"1076639996738625538";https://twitter.com/LithiumWorld/status/1076639996738625538
BIAUSMarkets;2018-12-20 18:18;10;15;"Iron ore prices have suddenly surged (via @BIAUS ) https://www. businessinsider.com.au/iron-ore-price -china-property-market-restrictions-cewc-2018-12 … pic.twitter.com/DZgcpIjK6t";;@BIAUS;;"1075863090237849600";https://twitter.com/BIAUSMarkets/status/1075863090237849600
UPFR8TRN;2018-12-20 17:32;3;23;"a Alco RS-27 leads a loaded iron ore train south towards the dock at Agate Bay. Dossa Tunnel is a scene I created to apply for @nmraonline Achievement Program Scenery certificate. @QStationMedia @ApexPanthera @fremodul @WoodlandScenics @TCMRM @Ottergoose @nmmrclub pic.twitter.com/mVFh0IBiDC";;@nmraonline @QStationMedia @ApexPanthera @fremodul @WoodlandScenics @TCMRM @Ottergoose @nmmrclub;;"1075851425211707393";https://twitter.com/UPFR8TRN/status/1075851425211707393
larajay66;2018-12-17 19:39;7;16;"Can’t afford any more Libs ..haven’t you noticed they tripled the debt and have already spent the windfall that iron ore prices have given even though they haven’t even been received yet, just forecasted! Running out of assets to sell off too!";;;;"1074796338309607424";https://twitter.com/larajay66/status/1074796338309607424
SapteshSardesai;2018-12-17 04:40;68;21;"Immediate resumption of Goa Iron Ore mining is must for the overall economy. #GoaMining https:// twitter.com/CEO_SESA/statu s/1074564747138224130 …";;;#GoaMining;"1074570101968519169";https://twitter.com/SapteshSardesai/status/1074570101968519169
matthaggis666;2018-12-16 20:11;14;15;"Iron ore & coal prices have a massive impact on Govt. revenue, and it's disingenuous and misleading to claim extra revenue is a result of Govt. "economic management". #auspol";;;#auspol;"1074441992300462080";https://twitter.com/matthaggis666/status/1074441992300462080
HamiltonPort;2018-12-16 13:17;4;12;"She's carrying iron ore for @ArcelorMittal_D . We should see her in port tomorrow morning! #HamOnt #PortCity https:// twitter.com/PrescottAnchor /status/1074307990939934722 …";;@ArcelorMittal_D;#HamOnt #PortCity;"1074337771479805952";https://twitter.com/HamiltonPort/status/1074337771479805952
twtsitcom;2018-12-15 12:09;70;14;"#GoaMining The closure of iron ore mining in the state has rendered 2 lakh people jobless, increased banks’ non-performing assets and impacted state’s revenue";;;#GoaMining;"1073958281893347328";https://twitter.com/twtsitcom/status/1073958281893347328
